,0
0,30.1920371056
1,30.1926989555
2,30.8601768017
3,30.6922371387
4,30.2252659798
5,30.8579659462
6,30.6399350166
7,30.7731380463
8,30.7604050636
9,30.8852300644
10,30.5592858791
11,30.0312759876
12,30.8817148209
13,31.1483819485
14,30.7449159622
15,30.1585550308
16,31.4840168953
17,30.7679162025
18,30.0342018604
19,30.1809198856
20,30.849946022
21,31.1237421036
22,31.5024020672
23,30.7749629021
24,30.6808049679
25,30.8501911163
26,29.9792370796
27,30.8330450058
28,31.486811161
29,30.7869780064
30,30.2252590656
31,32.0470919609
32,30.7432200909
33,29.9881138802
34,29.8719258308
35,30.8655939102
36,30.1095890999
37,30.2151508331
38,30.8482689857
39,30.1723320484
40,30.2001600266
41,30.276129961
42,30.6201269627
43,30.3989801407
44,30.045661211
45,30.0563750267
46,30.1801040173
47,30.8002130985
48,29.9462280273
49,30.520963192
