,0
0,64.570964098
1,65.9089748859
2,66.5200631618
3,65.0339078903
4,62.7219221592
5,64.1995060444
6,63.9364740849
7,63.8344199657
8,65.974230051
9,63.5273170471
10,63.9296798706
11,62.5034091473
12,62.9066588879
13,63.1081659794
14,63.3226389885
15,64.7897059917
16,65.6838889122
17,65.7916750908
18,64.7182500362
19,65.7190580368
20,65.6829710007
21,61.970927
22,65.8432939053
23,66.3689320087
24,66.1769981384
25,64.8824491501
26,67.4034600258
27,62.5811440945
28,69.7158181667
29,66.5746388435
30,65.65691185
31,67.9919159412
32,67.8182361126
33,68.782294035
34,67.892152071
35,68.2279789448
36,67.1718158722
37,67.0688791275
38,70.6358067989
39,70.9562430382
40,67.3246397972
41,70.7662529945
42,67.1433179379
43,71.4650511742
44,68.4480879307
45,62.4910120964
46,66.5132110119
47,66.6829931736
48,69.124409914
49,68.0055999756
