,0
0,38.3697810173
1,38.3850769997
2,38.3515570164
3,38.5061519146
4,38.4237639904
5,38.4042201042
6,38.4728858471
7,37.9382100105
8,37.8879139423
9,37.8790450096
10,37.9494531155
11,37.8766140938
12,37.8706109524
13,38.908246994
14,37.9021778107
15,37.9455649853
16,39.0311579704
17,37.9548969269
18,37.8438830376
19,38.2758359909
20,38.2081148624
21,38.2216351032
22,38.279569149
23,38.3010530472
24,39.3046000004
25,38.2786550522
26,38.0780091286
27,37.9818069935
28,38.0000360012
29,37.9588170052
30,38.0438849926
31,38.1970670223
32,38.1485030651
33,38.0802960396
34,38.0313022137
35,38.0843958855
36,38.332269907
37,38.1831319332
38,37.9665849209
39,37.9723610878
40,38.1393229961
41,38.1955370903
42,38.26252985
43,38.1814358234
44,38.1392459869
45,38.1827130318
46,37.8954341412
47,38.077630043
48,37.9136860371
49,38.2704148293
