,0
0,38.2530720234
1,38.0976939201
2,38.3186872005
3,39.3671629429
4,38.3120470047
5,39.0977940559
6,37.8026030064
7,37.8996839523
8,37.8118469715
9,38.6555089951
10,38.7867209911
11,37.7679979801
12,37.9065330029
13,37.6365530491
14,37.7824230194
15,38.8755068779
16,37.8329908848
17,37.7239289284
18,37.9231388569
19,37.5754840374
20,38.7049398422
21,38.9468488693
22,37.867595911
23,37.8966488838
24,37.8830859661
25,37.9289219379
26,38.1020720005
27,37.836493969
28,37.8747639656
29,37.9983940125
30,37.8012030125
31,37.8786370754
32,37.9773309231
33,38.2194449902
34,37.7414221764
35,37.9249382019
36,37.8627409935
37,39.0136210918
38,38.0514810085
39,37.7560989857
40,37.7339220047
41,37.8745501041
42,37.7893621922
43,37.8825638294
44,37.7511548996
45,37.7521388531
46,39.4001998901
47,38.2164461613
48,38.2965800762
49,37.6937041283
