,0
0,30.2977678776
1,31.2380931377
2,30.6183001995
3,31.2041499615
4,30.5027809143
5,31.1069869995
6,30.3350470066
7,30.6475360394
8,30.3577709198
9,30.4019608498
10,30.6158418655
11,30.4221670628
12,30.7836060524
13,30.8036670685
14,30.4369990826
15,30.0878200531
16,30.2438671589
17,30.5914120674
18,31.4281709194
19,30.58745718
20,31.1646540165
21,30.6208810806
22,31.5313179493
23,30.3406469822
24,30.6141588688
25,30.7312319279
26,30.8974201679
27,30.8842120171
28,30.6824011803
29,30.481304884
30,30.5562000275
31,30.8090031147
32,30.6566510201
33,30.5343019962
34,30.6731669903
35,30.7081990242
36,30.2691919804
37,30.4574210644
38,31.2362539768
39,30.6433138847
40,30.688270092
41,30.7122340202
42,30.8575799465
43,30.5014820099
44,32.0707399845
45,30.5770201683
46,30.5230460167
47,30.9000868797
48,31.2527699471
49,30.8764309883
