,0
0,70.0370261669
1,69.1759190559
2,70.5405650139
3,67.6565771103
4,66.6674129963
5,66.8480348587
6,68.0051729679
7,68.4551320076
8,67.2072629929
9,68.0709960461
10,65.7769730091
11,66.5729911327
12,66.3363780975
13,66.1427538395
14,69.0797321796
15,67.643543005
16,68.7452569008
17,68.1719801426
18,69.0328309536
19,69.2664909363
20,68.0241811275
21,67.1327841282
22,68.7310199738
23,68.8028321266
24,67.118240118
25,66.9405341148
26,69.6267559528
27,69.4936728477
28,70.3361718655
29,72.0342900753
30,67.7176320553
31,69.3180270195
32,71.545732975
33,71.2326610088
34,73.8703739643
35,68.87885499
36,71.7492289543
37,73.4897329807
38,71.4173400402
39,74.444904089
40,71.9887008667
41,73.4846141338
42,70.9176011086
43,71.8957509995
44,71.4048409462
45,71.5849378109
46,73.4320979118
47,70.6475670338
48,71.7496390343
49,72.5506620407
