,0
0,30.5949370861
1,30.71083498
2,30.6367828846
3,30.9863300323
4,30.5431931019
5,30.6050510406
6,31.0373160839
7,30.8746190071
8,31.1169900894
9,30.7159221172
10,31.0278880596
11,30.5870130062
12,30.9489867687
13,30.3282020092
14,30.6023900509
15,30.7383930683
16,31.0708560944
17,30.871391058
18,30.8909029961
19,30.4963598251
20,31.0779750347
21,30.3593149185
22,30.9846861362
23,31.0706849098
24,30.6644880772
25,30.4575459957
26,31.4293129444
27,30.4702370167
28,30.7810280323
29,30.6459760666
30,30.5530691147
31,30.6103231907
32,30.0806407928
33,30.5408029556
34,30.6051170826
35,31.0099217892
36,31.4389770031
37,30.4919950962
38,31.06478405
39,30.9120669365
40,30.8250448704
41,30.6071817875
42,30.9758820534
43,30.8532550335
44,30.7895579338
45,30.5875799656
46,30.5330789089
47,31.0244219303
48,31.3835999966
49,31.2875590324
