,0
0,69.5340199471
1,68.6161971092
2,70.8320291042
3,66.2309992313
4,66.4078838825
5,66.9168381691
6,66.9479100704
7,68.171102047
8,67.0561687946
9,67.4549510479
10,67.380218029
11,67.8775599003
12,68.4917640686
13,67.4168698788
14,67.310790062
15,66.3627078533
16,67.3473541737
17,66.301762104
18,66.4918100834
19,66.7711999416
20,66.4154059887
21,68.9058001041
22,67.0020358562
23,67.7841207981
24,70.6514639854
25,68.1883900166
26,67.1885278225
27,70.588351965
28,68.1697759628
29,71.8866729736
30,70.2325379848
31,68.160574913
32,68.1708278656
33,69.7802591324
34,74.1148631573
35,74.4106919765
36,72.774255991
37,71.4223120213
38,73.6241021156
39,71.658105135
40,72.5712089539
41,71.3133451939
42,72.7560789585
43,68.1018550396
44,73.0263769627
45,72.2175030708
46,73.2111740112
47,75.1478281021
48,73.4233100414
49,74.1914060116
