,0
0,39.3900220394
1,39.359074831
2,39.6455080509
3,40.428686142
4,40.6843309402
5,40.4092891216
6,39.117923975
7,40.7873549461
8,39.0503869057
9,40.9015741348
10,38.8848171234
11,39.3513932228
12,38.8631339073
13,39.5867550373
14,39.9926290512
15,39.0672922134
16,39.8772878647
17,39.2080750465
18,39.5743939877
19,39.0930769444
20,39.1567411423
21,40.0258421898
22,39.1111478806
23,39.0448391438
24,38.9958028793
25,39.089069128
26,39.0257380009
27,39.2989931107
28,39.1579539776
29,38.9374899864
30,40.0840120316
31,39.1272718906
32,39.5104808807
33,39.081043005
34,39.161798954
35,39.6432030201
36,39.2010290623
37,38.9959759712
38,39.8777229786
39,39.1981978416
40,39.2440159321
41,39.5444331169
42,39.3733849525
43,39.4046590328
44,39.7357530594
45,39.1464960575
46,38.9409520626
47,39.4560182095
48,38.9431681633
49,38.9334249496
