,0
0,39.5310609341
1,39.5173201561
2,39.6822118759
3,39.5949399471
4,39.5607771873
5,39.5682370663
6,39.481897831
7,39.1700019836
8,39.1214621067
9,38.8269271851
10,40.3238511086
11,39.1203200817
12,39.1201190948
13,39.2368080616
14,38.9584879875
15,39.2908070087
16,38.9733440876
17,39.0403568745
18,39.6545689106
19,39.4322249889
20,39.3368439674
21,39.4527931213
22,40.3894908428
23,40.5184981823
24,39.4581398964
25,39.1651210785
26,39.0630381107
27,39.2275829315
28,39.1964762211
29,39.9340159893
30,39.361497879
31,39.2195179462
32,39.4120059013
33,39.3502540588
34,39.3838632107
35,39.3064849377
36,39.1065280437
37,39.132158041
38,39.0602099895
39,39.1550290585
40,39.227009058
41,39.1173710823
42,39.4020080566
43,39.2497448921
44,39.4527819157
45,39.073086977
46,39.3581559658
47,39.0055069923
48,39.3066511154
49,39.0968909264
