,0
0,39.3944880962
1,40.989967823
2,40.4019401073
3,41.3177399635
4,39.5635709763
5,38.9727070332
6,39.1440958977
7,40.1143710613
8,39.0477309227
9,39.1112630367
10,38.8904700279
11,39.5477900505
12,39.9422011375
13,40.0777721405
14,38.9573309422
15,38.9821629524
16,39.0135099888
17,39.017029047
18,38.888051033
19,40.0114297867
20,39.0133631229
21,39.956856966
22,39.1305720806
23,39.051514864
24,39.2306408882
25,38.9966349602
26,39.268340826
27,39.1328809261
28,39.0725660324
29,39.2230169773
30,39.0690829754
31,39.4364590645
32,38.9650170803
33,39.2440960407
34,39.5227138996
35,39.1089510918
36,39.2251501083
37,39.4464809895
38,39.2462470531
39,40.1449518204
40,38.8749508858
41,39.0241961479
42,38.9983608723
43,38.9618930817
44,38.9968380928
45,39.3301169872
46,39.488380909
47,39.614387989
48,38.9774348736
49,39.6282069683
