,0
0,30.3707950115
1,30.5555081367
2,31.0506589413
3,30.3251290321
4,31.3433721066
5,30.4285871983
6,30.6144220829
7,31.2632799149
8,30.4642810822
9,30.7092878819
10,31.1386380196
11,30.6075720787
12,31.1824071407
13,31.6291520596
14,31.5677621365
15,30.871117115
16,30.6942541599
17,30.4674589634
18,30.2568471432
19,30.488036871
20,30.7162308693
21,31.6163709164
22,31.3285322189
23,30.8257398605
24,31.4583621025
25,30.4277780056
26,31.5107109547
27,31.5120260715
28,31.3511769772
29,31.2594058514
30,30.2338089943
31,31.2448990345
32,30.4954998493
33,30.678453207
34,30.1999070644
35,30.8959269524
36,30.3752999306
37,30.403429985
38,31.0854978561
39,30.3931438923
40,30.9922618866
41,31.4877328873
42,30.9185240269
43,30.3636791706
44,30.7699658871
45,30.3932011127
46,31.3407158852
47,30.9469327927
48,31.7911729813
49,30.477864027
