,0
0,69.8081140518
1,70.072687149
2,70.7050449848
3,67.0702829361
4,67.1654539108
5,67.1035919189
6,67.4227118492
7,67.6928679943
8,67.2058529854
9,67.4468259811
10,67.0046849251
11,68.0754041672
12,68.607665062
13,67.254404068
14,65.9230339527
15,66.9233219624
16,67.5051689148
17,67.7825570107
18,68.5972070694
19,67.3752889633
20,67.3058969975
21,65.4947340488
22,69.1734609604
23,69.9738950729
24,69.7581541538
25,66.0278871059
26,69.0782558918
27,69.3337891102
28,69.5867950916
29,70.438475132
30,65.3402140141
31,70.1736419201
32,69.6190371513
33,69.6825230122
34,74.6375021935
35,66.0026271343
36,74.8623118401
37,71.9136509895
38,74.3436849117
39,72.8559188843
40,74.217290163
41,73.8941249847
42,71.9849078655
43,72.9450080395
44,73.9195809364
45,74.5640180111
46,75.9641308784
47,66.0872180462
48,74.7123911381
49,75.0095589161
