,0
0,39.8498518467
1,40.372549057
2,40.6959760189
3,39.714413166
4,40.212594986
5,39.2006230354
6,39.3815808296
7,39.0963079929
8,39.1791279316
9,40.2193078995
10,39.0638961792
11,39.0567719936
12,39.2216360569
13,39.3384828568
14,39.8333790302
15,41.2776739597
16,39.3133950233
17,40.2013559341
18,39.3199751377
19,39.1881649494
20,39.106137991
21,40.2668869495
22,39.1164650917
23,40.3419938087
24,39.1801300049
25,39.1621181965
26,39.3460688591
27,39.1227071285
28,39.1742680073
29,39.5407760143
30,39.8354289532
31,39.2422778606
32,39.4620389938
33,39.7227990627
34,40.1891851425
35,39.2984859943
36,39.2148749828
37,39.0951910019
38,39.4874529839
39,39.7123718262
40,39.5014169216
41,39.6172630787
42,40.400935173
43,39.4668149948
44,39.6589410305
45,39.1842911243
46,39.4078609943
47,39.2862401009
48,39.8258390427
49,39.1351809502
