,0
0,39.6844520569
1,39.6984040737
2,39.8864309788
3,39.9007871151
4,39.8755660057
5,39.8345589638
6,39.5966179371
7,39.3889770508
8,39.2829928398
9,39.254554987
10,39.3061859608
11,39.2510828972
12,39.4157729149
13,39.3153960705
14,39.2681732178
15,39.3317568302
16,39.3382370472
17,39.166053772
18,39.3863270283
19,39.4849040508
20,39.688906908
21,39.7197420597
22,39.6614589691
23,39.7555520535
24,39.5960690975
25,39.4749848843
26,39.7557270527
27,39.3141350746
28,39.5355877876
29,39.4324860573
30,39.7359969616
31,39.4223890305
32,39.5263960361
33,39.5206539631
34,39.3977379799
35,39.624876976
36,39.4525079727
37,39.6883769035
38,39.7064619064
39,39.3973069191
40,39.3587667942
41,39.720788002
42,39.1413071156
43,39.3785529137
44,39.2770318985
45,39.4562320709
46,39.4302449226
47,39.4760220051
48,39.3073170185
49,39.7223711014
