,0,10,20,30,40,50,60,70,80,90,100
0,0.083,0.139,0.18,0.22,0.255,0.3,0.343,0.377,0.416,0.451,0.499
1,0.083,0.136,0.173,0.219,0.271,0.295,0.346,0.375,0.419,0.455,0.523
2,0.083,0.135,0.179,0.211,0.262,0.305,0.347,0.383,0.434,0.46,0.483
3,0.084,0.138,0.173,0.216,0.255,0.299,0.343,0.385,0.408,0.446,0.488
4,0.083,0.145,0.177,0.211,0.258,0.3,0.341,0.374,0.428,0.451,0.487
5,0.087,0.139,0.175,0.214,0.253,0.297,0.335,0.375,0.422,0.457,0.498
6,0.087,0.136,0.174,0.215,0.257,0.29,0.345,0.379,0.403,0.453,0.508
7,0.087,0.145,0.18,0.217,0.255,0.297,0.343,0.373,0.409,0.468,0.491
8,0.087,0.137,0.171,0.214,0.254,0.299,0.344,0.376,0.418,0.448,0.487
9,0.087,0.132,0.171,0.212,0.266,0.299,0.351,0.378,0.406,0.453,0.496
10,0.083,0.133,0.176,0.218,0.253,0.293,0.344,0.374,0.425,0.468,0.491
11,0.085,0.132,0.175,0.21,0.256,0.298,0.338,0.383,0.408,0.464,0.499
12,0.083,0.136,0.169,0.211,0.261,0.296,0.339,0.379,0.421,0.453,0.493
13,0.083,0.133,0.177,0.217,0.257,0.295,0.341,0.366,0.419,0.454,0.511
14,0.088,0.139,0.173,0.208,0.265,0.295,0.335,0.382,0.418,0.454,0.488
15,0.081,0.142,0.172,0.219,0.257,0.296,0.346,0.375,0.413,0.463,0.495
16,0.09,0.134,0.178,0.215,0.254,0.3,0.346,0.368,0.407,0.445,0.495
17,0.082,0.14,0.17,0.21,0.253,0.285,0.34,0.386,0.413,0.464,0.494
18,0.084,0.139,0.172,0.211,0.257,0.297,0.335,0.372,0.422,0.464,0.505
19,0.083,0.146,0.18,0.212,0.255,0.296,0.348,0.371,0.415,0.446,0.48
20,0.084,0.137,0.183,0.211,0.262,0.297,0.337,0.381,0.415,0.455,0.489
21,0.086,0.134,0.175,0.213,0.256,0.3,0.343,0.373,0.42,0.458,0.494
22,0.086,0.135,0.174,0.214,0.253,0.298,0.347,0.384,0.415,0.455,0.476
23,0.088,0.137,0.174,0.21,0.258,0.308,0.339,0.381,0.411,0.456,0.491
24,0.085,0.143,0.173,0.211,0.252,0.305,0.341,0.385,0.413,0.463,0.494
25,0.085,0.138,0.174,0.211,0.255,0.295,0.348,0.371,0.413,0.463,0.493
26,0.093,0.135,0.172,0.208,0.254,0.3,0.339,0.369,0.421,0.452,0.485
27,0.085,0.135,0.176,0.216,0.26,0.306,0.343,0.376,0.416,0.451,0.489
28,0.088,0.136,0.177,0.214,0.261,0.292,0.345,0.371,0.412,0.468,0.49
29,0.084,0.134,0.178,0.215,0.253,0.304,0.343,0.382,0.413,0.458,0.498
30,0.083,0.133,0.181,0.211,0.251,0.304,0.335,0.37,0.415,0.447,0.491
31,0.084,0.136,0.171,0.213,0.258,0.302,0.338,0.376,0.418,0.459,0.503
32,0.083,0.143,0.179,0.218,0.26,0.301,0.344,0.365,0.427,0.458,0.49
33,0.083,0.138,0.176,0.21,0.25,0.289,0.345,0.387,0.417,0.457,0.493
34,0.087,0.137,0.182,0.21,0.267,0.295,0.343,0.374,0.422,0.459,0.494
35,0.082,0.142,0.177,0.214,0.255,0.298,0.34,0.38,0.422,0.459,0.493
36,0.084,0.131,0.176,0.212,0.252,0.291,0.346,0.387,0.426,0.46,0.497
37,0.084,0.135,0.182,0.215,0.257,0.294,0.334,0.382,0.414,0.452,0.501
38,0.087,0.136,0.174,0.215,0.255,0.299,0.339,0.377,0.421,0.445,0.494
39,0.081,0.135,0.175,0.215,0.257,0.291,0.351,0.381,0.417,0.46,0.484
