,0
0,0.087
1,0.087
2,0.083
3,0.083
4,0.083
5,0.083
6,0.093
7,0.093
8,0.085
9,0.085
10,0.087
11,0.087
12,0.084
13,0.084
14,0.084
15,0.084
16,0.085
17,0.085
18,0.084
19,0.084
20,0.084
21,0.084
22,0.081
23,0.081
24,0.091
25,0.091
26,0.084
27,0.084
28,0.084
29,0.084
30,0.085
31,0.085
32,0.087
33,0.087
34,0.083
35,0.083
36,0.085
37,0.085
38,0.082
39,0.082
40,0.088
41,0.088
42,0.088
43,0.088
44,0.086
45,0.086
46,0.086
47,0.086
48,0.09
49,0.09
50,0.085
51,0.085
52,0.085
53,0.085
54,0.082
55,0.082
56,0.083
57,0.083
58,0.086
59,0.086
60,0.088
61,0.088
62,0.085
63,0.085
64,0.087
65,0.087
66,0.089
67,0.089
68,0.087
69,0.087
70,0.087
71,0.087
72,0.084
73,0.084
74,0.087
75,0.087
76,0.086
77,0.086
78,0.087
79,0.087
80,0.085
81,0.085
82,0.087
83,0.087
84,0.085
85,0.085
86,0.087
87,0.087
88,0.089
89,0.089
90,0.082
91,0.082
92,0.083
93,0.083
94,0.085
95,0.085
96,0.084
97,0.084
98,0.081
99,0.081
100,0.085
101,0.085
102,0.087
103,0.087
104,0.087
105,0.087
106,0.084
107,0.084
108,0.084
109,0.084
110,0.081
111,0.081
112,0.087
113,0.087
114,0.084
115,0.084
116,0.084
117,0.084
118,0.081
119,0.081
120,0.083
121,0.083
122,0.088
123,0.088
124,0.082
125,0.082
126,0.082
127,0.082
128,0.083
129,0.083
130,0.085
131,0.085
132,0.086
133,0.086
134,0.089
135,0.089
136,0.087
137,0.087
138,0.092
139,0.092
140,0.085
141,0.085
142,0.089
143,0.089
144,0.086
145,0.086
146,0.086
147,0.086
148,0.086
149,0.086
150,0.091
151,0.091
152,0.081
153,0.081
154,0.081
155,0.081
156,0.086
157,0.086
158,0.082
159,0.082
160,0.092
161,0.092
162,0.084
163,0.084
164,0.086
165,0.086
166,0.082
167,0.082
168,0.083
169,0.083
170,0.087
171,0.087
172,0.084
173,0.084
174,0.082
175,0.082
176,0.086
177,0.086
178,0.083
179,0.083
180,0.085
181,0.085
182,0.09
183,0.09
184,0.087
185,0.087
186,0.08
187,0.08
188,0.086
189,0.086
190,0.087
191,0.087
192,0.085
193,0.085
194,0.082
195,0.082
196,0.086
197,0.086
198,0.083
199,0.083
