,0
0,0.108
1,0.104
2,0.096
3,0.104
4,0.108
5,0.103
6,0.11
7,0.094
8,0.176
9,0.104
10,0.106
11,0.102
12,0.103
13,0.103
14,0.099
15,0.103
16,0.155
17,0.094
18,0.1
19,0.097
20,0.106
21,0.099
22,0.103
23,0.096
24,0.176
25,0.098
26,0.095
27,0.113
28,0.103
29,0.105
30,0.099
31,0.102
32,0.11
33,0.106
34,0.105
35,0.104
36,0.107
37,0.106
38,0.12
39,0.171
40,0.098
41,0.112
42,0.097
43,0.105
44,0.094
45,0.11
46,0.111
47,0.108
48,0.098
49,0.096
50,0.109
51,0.096
52,0.099
53,0.11
54,0.099
55,0.103
56,0.187
57,0.114
58,0.103
59,0.1
60,0.099
61,0.101
62,0.105
63,0.112
64,0.098
65,0.112
66,0.099
67,0.102
68,0.104
69,0.098
70,0.095
71,0.106
72,0.111
73,0.108
74,0.101
75,0.106
76,0.107
77,0.105
78,0.095
79,0.102
80,0.099
81,0.099
82,0.11
83,0.106
84,0.113
85,0.101
86,0.107
87,0.095
88,0.106
89,0.11
90,0.103
91,0.106
92,0.11
93,0.104
94,0.105
95,0.102
96,0.09
97,0.097
98,0.097
99,0.104
