,0
0,0.137
1,0.137
2,0.126
3,0.117
4,0.133
5,0.126
6,0.122
7,0.118
8,0.133
9,0.123
10,0.212
11,0.197
12,0.148
13,0.118
14,0.122
15,0.125
16,0.124
17,0.123
18,0.125
19,0.119
20,0.119
21,0.114
22,0.188
23,0.145
24,0.114
25,0.12
26,0.125
27,0.129
28,0.125
29,0.127
30,0.12
31,0.124
32,0.129
33,0.123
34,0.12
35,0.117
36,0.122
37,0.139
38,0.119
39,0.177
40,0.125
41,0.184
42,0.122
43,0.118
44,0.121
45,0.119
46,0.121
47,0.121
48,0.121
49,0.119
50,0.124
51,0.12
52,0.118
53,0.122
54,0.126
55,0.113
56,0.118
57,0.119
58,0.12
59,0.165
60,0.119
61,0.124
62,0.121
63,0.128
64,0.129
65,0.119
66,0.124
67,0.121
68,0.122
69,0.116
70,0.121
71,0.12
72,0.134
73,0.122
74,0.12
75,0.134
76,0.123
77,0.121
78,0.122
79,0.121
80,0.121
81,0.119
82,0.128
83,0.12
84,0.117
85,0.121
86,0.12
87,0.122
88,0.189
89,0.117
90,0.12
91,0.125
92,0.125
93,0.135
94,0.131
95,0.119
96,0.128
97,0.131
98,0.119
99,0.121
