,0,10,20,30,40,50,60,70,80,90,100
0,0.121,0.164,0.196,0.246,0.276,0.328,0.363,0.4,0.449,0.481,0.505
1,0.105,0.166,0.204,0.233,0.28,0.322,0.37,0.407,0.44,0.471,0.508
2,0.105,0.171,0.213,0.246,0.275,0.316,0.366,0.395,0.44,0.472,0.511
3,0.111,0.159,0.203,0.244,0.276,0.32,0.369,0.4,0.433,0.485,0.507
4,0.115,0.168,0.198,0.237,0.282,0.323,0.373,0.407,0.44,0.472,0.511
5,0.105,0.163,0.21,0.251,0.28,0.314,0.353,0.396,0.464,0.474,0.514
6,0.111,0.162,0.209,0.232,0.281,0.327,0.37,0.417,0.433,0.468,0.514
7,0.103,0.17,0.2,0.242,0.285,0.313,0.4,0.401,0.439,0.479,0.508
8,0.107,0.168,0.197,0.249,0.279,0.313,0.37,0.396,0.445,0.482,0.546
9,0.105,0.157,0.194,0.247,0.285,0.323,0.371,0.397,0.462,0.488,0.503
10,0.111,0.166,0.203,0.233,0.271,0.33,0.378,0.391,0.441,0.478,0.524
11,0.11,0.157,0.211,0.246,0.274,0.32,0.36,0.399,0.449,0.486,0.516
12,0.105,0.161,0.196,0.245,0.279,0.329,0.369,0.409,0.438,0.47,0.504
13,0.108,0.163,0.203,0.241,0.286,0.326,0.356,0.413,0.44,0.494,0.505
14,0.106,0.162,0.199,0.241,0.273,0.316,0.356,0.415,0.437,0.486,0.513
15,0.108,0.161,0.21,0.234,0.285,0.314,0.356,0.398,0.456,0.473,0.529
16,0.113,0.165,0.208,0.237,0.28,0.319,0.366,0.396,0.455,0.474,0.524
17,0.113,0.156,0.208,0.241,0.284,0.323,0.367,0.394,0.45,0.454,0.529
18,0.109,0.166,0.195,0.249,0.28,0.324,0.354,0.413,0.446,0.483,0.516
19,0.108,0.163,0.209,0.231,0.281,0.328,0.373,0.398,0.438,0.48,0.515
20,0.114,0.159,0.201,0.238,0.289,0.316,0.366,0.401,0.444,0.485,0.508
21,0.115,0.165,0.211,0.243,0.291,0.305,0.358,0.396,0.432,0.496,0.528
22,0.108,0.166,0.196,0.243,0.281,0.323,0.36,0.395,0.432,0.491,0.521
23,0.102,0.171,0.206,0.246,0.278,0.325,0.361,0.415,0.441,0.477,0.51
24,0.11,0.17,0.207,0.234,0.28,0.319,0.362,0.405,0.449,0.47,0.536
25,0.103,0.164,0.21,0.24,0.277,0.318,0.369,0.406,0.435,0.481,0.507
26,0.106,0.176,0.21,0.247,0.287,0.331,0.367,0.389,0.434,0.493,0.533
27,0.114,0.163,0.214,0.237,0.288,0.323,0.374,0.398,0.459,0.485,0.55
28,0.104,0.163,0.206,0.241,0.285,0.324,0.371,0.406,0.446,0.478,0.54
29,0.097,0.154,0.188,0.251,0.291,0.314,0.383,0.407,0.463,0.497,0.513
30,0.1,0.166,0.205,0.23,0.281,0.328,0.368,0.394,0.455,0.472,0.511
31,0.104,0.157,0.209,0.242,0.273,0.314,0.373,0.411,0.43,0.5,0.534
32,0.104,0.163,0.202,0.25,0.276,0.321,0.369,0.406,0.446,0.466,0.515
33,0.105,0.162,0.206,0.235,0.279,0.323,0.374,0.395,0.441,0.503,0.518
34,0.11,0.165,0.199,0.24,0.295,0.328,0.38,0.403,0.439,0.468,0.518
35,0.107,0.158,0.203,0.242,0.272,0.311,0.379,0.402,0.446,0.485,0.535
36,0.108,0.165,0.2,0.237,0.28,0.321,0.376,0.403,0.461,0.502,0.528
37,0.118,0.156,0.2,0.227,0.282,0.32,0.354,0.402,0.446,0.48,0.52
38,0.116,0.164,0.197,0.245,0.273,0.305,0.362,0.409,0.456,0.481,0.52
39,0.107,0.175,0.197,0.255,0.272,0.322,0.366,0.403,0.437,0.483,0.521
40,0.101,0.168,0.203,0.256,0.276,0.314,0.373,0.401,0.446,0.472,0.52
41,0.11,0.169,0.202,0.246,0.279,0.328,0.357,0.406,0.43,0.488,0.522
42,0.098,0.164,0.21,0.244,0.281,0.332,0.349,0.396,0.455,0.469,0.523
43,0.107,0.174,0.2,0.251,0.283,0.325,0.356,0.392,0.446,0.48,0.516
44,0.11,0.168,0.21,0.251,0.282,0.317,0.37,0.418,0.423,0.467,0.535
45,0.101,0.172,0.208,0.242,0.276,0.312,0.36,0.406,0.451,0.495,0.503
46,0.107,0.172,0.21,0.25,0.285,0.319,0.36,0.411,0.449,0.504,0.512
47,0.108,0.167,0.208,0.24,0.276,0.325,0.373,0.412,0.443,0.483,0.524
48,0.109,0.168,0.214,0.245,0.279,0.325,0.357,0.412,0.446,0.471,0.508
49,0.109,0.173,0.205,0.237,0.285,0.307,0.353,0.396,0.449,0.48,0.52
50,0.108,0.164,0.204,0.231,0.283,0.319,0.36,0.404,0.445,0.48,0.507
51,0.104,0.173,0.211,0.247,0.282,0.321,0.372,0.404,0.437,0.517,0.519
52,0.114,0.163,0.204,0.244,0.283,0.317,0.35,0.408,0.447,0.482,0.519
53,0.114,0.16,0.206,0.253,0.284,0.325,0.37,0.418,0.438,0.487,0.53
54,0.124,0.164,0.196,0.237,0.276,0.324,0.359,0.417,0.447,0.48,0.539
55,0.113,0.161,0.202,0.231,0.276,0.32,0.366,0.407,0.456,0.477,0.514
56,0.107,0.164,0.21,0.238,0.28,0.321,0.358,0.402,0.432,0.492,0.513
57,0.114,0.159,0.207,0.235,0.276,0.322,0.365,0.414,0.445,0.5,0.511
58,0.108,0.165,0.206,0.236,0.276,0.309,0.368,0.398,0.434,0.486,0.519
59,0.11,0.167,0.198,0.249,0.276,0.326,0.375,0.404,0.438,0.488,0.525
60,0.106,0.163,0.192,0.254,0.28,0.322,0.358,0.404,0.445,0.479,0.512
61,0.106,0.159,0.208,0.241,0.278,0.318,0.36,0.436,0.445,0.474,0.51
62,0.106,0.17,0.203,0.243,0.265,0.325,0.353,0.395,0.436,0.475,0.51
63,0.106,0.166,0.213,0.252,0.281,0.316,0.366,0.406,0.443,0.477,0.5
64,0.107,0.169,0.201,0.236,0.282,0.337,0.352,0.402,0.44,0.489,0.535
65,0.108,0.156,0.209,0.232,0.278,0.309,0.366,0.411,0.447,0.491,0.512
66,0.117,0.17,0.2,0.241,0.288,0.329,0.367,0.422,0.44,0.474,0.527
67,0.104,0.172,0.201,0.235,0.278,0.323,0.362,0.409,0.445,0.475,0.513
68,0.103,0.167,0.208,0.246,0.28,0.314,0.357,0.393,0.448,0.483,0.506
69,0.106,0.164,0.211,0.233,0.273,0.337,0.372,0.403,0.438,0.475,0.514
70,0.106,0.168,0.199,0.24,0.279,0.323,0.374,0.413,0.446,0.481,0.593
71,0.121,0.178,0.212,0.238,0.289,0.328,0.38,0.439,0.449,0.476,0.543
72,0.105,0.154,0.196,0.236,0.265,0.317,0.359,0.397,0.447,0.471,0.512
73,0.098,0.168,0.21,0.236,0.282,0.336,0.363,0.408,0.438,0.479,0.529
74,0.107,0.161,0.203,0.233,0.287,0.312,0.342,0.386,0.439,0.466,0.525
75,0.104,0.162,0.205,0.233,0.288,0.324,0.363,0.413,0.438,0.476,0.522
76,0.118,0.155,0.193,0.242,0.279,0.318,0.361,0.421,0.44,0.477,0.531
77,0.103,0.158,0.208,0.228,0.286,0.318,0.358,0.425,0.447,0.488,0.517
78,0.118,0.166,0.199,0.238,0.281,0.329,0.349,0.405,0.443,0.487,0.508
79,0.114,0.163,0.205,0.244,0.272,0.324,0.368,0.426,0.447,0.49,0.548
80,0.115,0.162,0.208,0.232,0.28,0.308,0.355,0.39,0.44,0.487,0.547
81,0.107,0.172,0.2,0.244,0.281,0.302,0.367,0.395,0.43,0.478,0.514
82,0.109,0.155,0.199,0.248,0.272,0.326,0.36,0.413,0.434,0.479,0.511
83,0.113,0.158,0.206,0.256,0.283,0.314,0.37,0.4,0.443,0.487,0.523
84,0.107,0.162,0.199,0.243,0.278,0.332,0.398,0.404,0.443,0.472,0.515
85,0.104,0.163,0.211,0.243,0.286,0.321,0.36,0.401,0.435,0.482,0.51
86,0.107,0.165,0.201,0.238,0.276,0.329,0.368,0.398,0.433,0.505,0.522
87,0.111,0.162,0.207,0.242,0.281,0.331,0.366,0.396,0.434,0.488,0.508
88,0.116,0.17,0.196,0.241,0.287,0.325,0.37,0.405,0.441,0.467,0.518
89,0.118,0.177,0.196,0.251,0.273,0.311,0.371,0.41,0.442,0.493,0.503
90,0.111,0.17,0.203,0.238,0.294,0.325,0.368,0.407,0.435,0.469,0.535
91,0.109,0.169,0.212,0.229,0.276,0.328,0.366,0.397,0.467,0.492,0.509
92,0.11,0.168,0.208,0.236,0.284,0.318,0.355,0.397,0.429,0.465,0.502
93,0.108,0.166,0.209,0.237,0.291,0.35,0.364,0.414,0.442,0.477,0.54
94,0.106,0.163,0.195,0.225,0.289,0.312,0.358,0.422,0.438,0.495,0.531
95,0.117,0.168,0.198,0.248,0.275,0.324,0.369,0.4,0.442,0.478,0.51
96,0.117,0.173,0.203,0.243,0.278,0.318,0.362,0.415,0.44,0.472,0.513
97,0.105,0.152,0.196,0.233,0.286,0.329,0.363,0.41,0.461,0.483,0.516
98,0.119,0.174,0.205,0.242,0.267,0.312,0.354,0.406,0.439,0.489,0.546
99,0.111,0.166,0.204,0.243,0.274,0.317,0.361,0.408,0.451,0.47,0.542
