,0,10,20,30,40,50,60,70,80,90,100
0,0.083,0.141,0.174,0.216,0.256,0.314,0.354,0.376,0.431,0.47,0.508
1,0.085,0.134,0.184,0.213,0.262,0.295,0.341,0.381,0.407,0.455,0.497
2,0.084,0.141,0.171,0.218,0.259,0.302,0.345,0.374,0.415,0.466,0.503
3,0.082,0.136,0.18,0.214,0.254,0.302,0.336,0.384,0.409,0.447,0.5
4,0.088,0.133,0.176,0.219,0.263,0.297,0.337,0.376,0.411,0.463,0.504
5,0.082,0.134,0.18,0.212,0.255,0.313,0.329,0.386,0.417,0.456,0.494
6,0.079,0.137,0.175,0.216,0.261,0.305,0.34,0.379,0.41,0.445,0.497
7,0.083,0.143,0.177,0.216,0.259,0.304,0.346,0.386,0.415,0.457,0.485
8,0.087,0.137,0.172,0.216,0.258,0.301,0.352,0.39,0.409,0.47,0.497
9,0.085,0.137,0.178,0.214,0.255,0.301,0.353,0.378,0.428,0.469,0.517
10,0.084,0.142,0.175,0.217,0.249,0.291,0.333,0.379,0.415,0.458,0.488
11,0.088,0.141,0.177,0.209,0.261,0.299,0.335,0.369,0.419,0.455,0.487
12,0.086,0.138,0.173,0.214,0.255,0.301,0.339,0.37,0.415,0.454,0.501
13,0.083,0.141,0.176,0.216,0.255,0.295,0.347,0.378,0.415,0.472,0.488
14,0.082,0.136,0.175,0.217,0.264,0.299,0.336,0.365,0.417,0.443,0.49
15,0.081,0.139,0.177,0.213,0.255,0.294,0.349,0.387,0.421,0.445,0.498
16,0.088,0.134,0.174,0.213,0.255,0.301,0.34,0.373,0.419,0.441,0.48
17,0.085,0.14,0.174,0.218,0.249,0.289,0.334,0.383,0.425,0.453,0.499
18,0.084,0.135,0.175,0.214,0.254,0.294,0.337,0.382,0.425,0.455,0.497
19,0.091,0.138,0.179,0.208,0.255,0.293,0.353,0.378,0.405,0.458,0.496
20,0.081,0.132,0.171,0.209,0.257,0.3,0.349,0.383,0.426,0.453,0.489
21,0.089,0.138,0.174,0.222,0.27,0.298,0.339,0.382,0.423,0.457,0.488
22,0.083,0.134,0.185,0.217,0.261,0.297,0.347,0.382,0.415,0.463,0.479
23,0.088,0.141,0.179,0.214,0.259,0.298,0.353,0.377,0.431,0.449,0.493
