,0,10,20,30,40,50,60,70,80,90,100
0,0.085,0.101,0.099,0.082,0.096,0.101,0.109,0.093,0.087,0.096,0.097
1,0.093,0.087,0.095,0.09,0.099,0.099,0.1,0.098,0.098,0.105,0.103
2,0.094,0.103,0.089,0.087,0.105,0.101,0.101,0.11,0.107,0.101,0.103
3,0.086,0.104,0.097,0.105,0.096,0.098,0.1,0.104,0.094,0.1,0.11
4,0.093,0.098,0.103,0.111,0.097,0.095,0.104,0.097,0.101,0.104,0.106
5,0.094,0.099,0.099,0.093,0.096,0.097,0.102,0.102,0.099,0.101,0.114
6,0.087,0.097,0.093,0.103,0.097,0.109,0.102,0.107,0.098,0.103,0.109
7,0.097,0.094,0.096,0.101,0.113,0.105,0.106,0.092,0.107,0.101,0.109
8,0.094,0.097,0.1,0.102,0.098,0.103,0.104,0.105,0.109,0.097,0.097
9,0.09,0.099,0.101,0.107,0.106,0.104,0.108,0.095,0.101,0.107,0.101
10,0.082,0.102,0.105,0.1,0.1,0.118,0.112,0.095,0.11,0.115,0.103
11,0.094,0.103,0.106,0.106,0.098,0.104,0.106,0.105,0.104,0.109,0.111
12,0.086,0.097,0.1,0.102,0.103,0.095,0.098,0.107,0.103,0.106,0.101
13,0.093,0.107,0.1,0.097,0.103,0.094,0.104,0.102,0.095,0.111,0.097
14,0.097,0.098,0.09,0.111,0.107,0.106,0.102,0.097,0.108,0.096,0.111
15,0.101,0.099,0.107,0.103,0.094,0.096,0.095,0.102,0.111,0.107,0.115
16,0.097,0.097,0.1,0.104,0.135,0.104,0.097,0.097,0.105,0.101,0.104
17,0.097,0.097,0.101,0.108,0.106,0.101,0.096,0.098,0.11,0.105,0.098
18,0.1,0.103,0.103,0.108,0.106,0.108,0.104,0.102,0.102,0.106,0.107
19,0.09,0.101,0.098,0.099,0.102,0.104,0.099,0.101,0.103,0.115,0.108
20,0.088,0.106,0.102,0.1,0.104,0.094,0.111,0.104,0.106,0.105,0.101
21,0.093,0.097,0.098,0.093,0.099,0.103,0.106,0.108,0.092,0.087,0.106
22,0.096,0.106,0.105,0.109,0.112,0.101,0.094,0.113,0.107,0.101,0.103
23,0.093,0.103,0.103,0.099,0.098,0.097,0.09,0.092,0.09,0.11,0.104
24,0.098,0.109,0.104,0.104,0.09,0.089,0.087,0.114,0.106,0.108,0.107
25,0.093,0.097,0.111,0.106,0.107,0.108,0.108,0.102,0.108,0.102,0.102
26,0.085,0.096,0.087,0.1,0.111,0.091,0.104,0.106,0.099,0.1,0.1
27,0.087,0.103,0.103,0.102,0.099,0.115,0.101,0.103,0.101,0.103,0.112
28,0.091,0.099,0.1,0.103,0.108,0.104,0.106,0.092,0.107,0.096,0.099
29,0.096,0.085,0.095,0.09,0.095,0.109,0.099,0.106,0.1,0.106,0.097
30,0.083,0.103,0.104,0.099,0.096,0.111,0.094,0.101,0.102,0.103,0.106
31,0.095,0.108,0.095,0.103,0.106,0.101,0.1,0.096,0.104,0.11,0.105
32,0.101,0.091,0.104,0.096,0.102,0.099,0.101,0.108,0.113,0.095,0.1
33,0.089,0.103,0.111,0.1,0.092,0.102,0.102,0.103,0.091,0.091,0.102
34,0.09,0.098,0.11,0.098,0.104,0.095,0.099,0.113,0.101,0.104,0.104
35,0.096,0.102,0.099,0.098,0.093,0.103,0.115,0.102,0.091,0.104,0.105
36,0.088,0.096,0.109,0.101,0.104,0.104,0.096,0.101,0.108,0.105,0.103
37,0.103,0.098,0.1,0.093,0.104,0.11,0.1,0.099,0.103,0.1,0.102
38,0.09,0.097,0.102,0.102,0.101,0.102,0.111,0.098,0.107,0.11,0.099
39,0.087,0.09,0.091,0.096,0.096,0.108,0.11,0.102,0.102,0.111,0.103
40,0.086,0.102,0.102,0.099,0.096,0.099,0.101,0.101,0.11,0.102,0.103
41,0.093,0.101,0.096,0.099,0.098,0.104,0.095,0.102,0.103,0.11,0.112
42,0.09,0.098,0.1,0.096,0.098,0.095,0.094,0.101,0.115,0.1,0.093
43,0.097,0.095,0.103,0.095,0.106,0.09,0.097,0.104,0.101,0.109,0.098
