,0,10,20,30,40,50,60,70,80,90,100
0,0.112,0.113,0.115,0.121,0.117,0.136,0.121,0.124,0.129,0.137,0.143
1,0.097,0.12,0.118,0.127,0.131,0.128,0.119,0.124,0.121,0.127,0.128
2,0.092,0.096,0.1,0.115,0.127,0.114,0.131,0.13,0.126,0.124,0.142
3,0.102,0.104,0.107,0.116,0.125,0.114,0.11,0.131,0.113,0.133,0.131
4,0.095,0.1,0.117,0.116,0.119,0.107,0.113,0.143,0.136,0.145,0.127
5,0.096,0.099,0.108,0.11,0.122,0.117,0.109,0.113,0.144,0.131,0.147
6,0.091,0.113,0.109,0.118,0.126,0.121,0.133,0.124,0.138,0.135,0.128
7,0.093,0.104,0.113,0.12,0.118,0.12,0.132,0.133,0.14,0.128,0.138
8,0.099,0.111,0.102,0.108,0.104,0.111,0.13,0.138,0.129,0.131,0.125
9,0.085,0.102,0.101,0.117,0.109,0.121,0.12,0.114,0.126,0.138,0.145
10,0.104,0.1,0.108,0.124,0.129,0.114,0.129,0.137,0.132,0.14,0.129
11,0.094,0.116,0.111,0.106,0.115,0.121,0.124,0.128,0.122,0.129,0.138
12,0.091,0.11,0.111,0.127,0.122,0.122,0.131,0.129,0.143,0.13,0.134
13,0.098,0.101,0.11,0.114,0.109,0.114,0.113,0.124,0.125,0.134,0.143
14,0.109,0.097,0.11,0.116,0.127,0.129,0.129,0.136,0.128,0.136,0.14
15,0.104,0.101,0.118,0.108,0.12,0.111,0.122,0.133,0.153,0.14,0.145
16,0.101,0.104,0.104,0.117,0.12,0.126,0.124,0.131,0.134,0.136,0.143
17,0.089,0.107,0.114,0.115,0.126,0.12,0.135,0.123,0.134,0.135,0.138
18,0.099,0.116,0.099,0.114,0.112,0.119,0.126,0.131,0.131,0.145,0.139
19,0.097,0.104,0.107,0.112,0.124,0.121,0.13,0.138,0.132,0.127,0.128
20,0.089,0.102,0.112,0.118,0.125,0.13,0.122,0.133,0.128,0.138,0.134
21,0.092,0.11,0.109,0.121,0.113,0.106,0.129,0.134,0.131,0.137,0.135
22,0.1,0.098,0.105,0.118,0.109,0.114,0.13,0.137,0.132,0.132,0.13
23,0.105,0.112,0.112,0.112,0.124,0.126,0.131,0.135,0.128,0.189,0.136
24,0.098,0.099,0.109,0.113,0.126,0.13,0.119,0.129,0.124,0.124,0.132
25,0.098,0.11,0.12,0.117,0.109,0.115,0.119,0.123,0.12,0.137,0.142
26,0.082,0.104,0.107,0.126,0.117,0.128,0.124,0.129,0.134,0.142,0.138
27,0.09,0.106,0.104,0.113,0.109,0.12,0.124,0.125,0.126,0.133,0.147
28,0.089,0.1,0.112,0.108,0.126,0.111,0.117,0.124,0.137,0.137,0.135
29,0.096,0.109,0.111,0.104,0.11,0.115,0.131,0.129,0.135,0.123,0.13
30,0.099,0.099,0.113,0.122,0.124,0.117,0.133,0.111,0.132,0.125,0.139
31,0.084,0.108,0.103,0.121,0.112,0.114,0.121,0.122,0.131,0.132,0.132
32,0.092,0.114,0.118,0.107,0.123,0.121,0.118,0.112,0.119,0.126,0.145
33,0.091,0.112,0.106,0.103,0.103,0.127,0.117,0.122,0.132,0.136,0.139
34,0.104,0.099,0.107,0.106,0.126,0.131,0.135,0.131,0.134,0.141,0.138
35,0.092,0.101,0.108,0.12,0.109,0.109,0.113,0.115,0.135,0.131,0.14
36,0.09,0.104,0.108,0.109,0.167,0.128,0.131,0.128,0.133,0.133,0.128
37,0.094,0.104,0.111,0.118,0.142,0.117,0.124,0.134,0.131,0.139,0.139
38,0.094,0.117,0.107,0.115,0.126,0.122,0.122,0.133,0.124,0.142,0.134
39,0.096,0.1,0.105,0.11,0.124,0.126,0.128,0.121,0.147,0.141,0.124
40,0.083,0.112,0.118,0.107,0.115,0.124,0.131,0.132,0.128,0.141,0.135
41,0.091,0.109,0.122,0.109,0.126,0.106,0.118,0.124,0.137,0.127,0.142
42,0.094,0.1,0.109,0.115,0.118,0.124,0.125,0.13,0.131,0.137,0.126
43,0.096,0.11,0.116,0.123,0.119,0.127,0.115,0.124,0.134,0.147,0.144
44,0.099,0.097,0.11,0.12,0.109,0.121,0.123,0.143,0.14,0.143,0.143
45,0.096,0.117,0.109,0.118,0.114,0.132,0.115,0.123,0.124,0.127,0.137
46,0.098,0.114,0.118,0.115,0.123,0.118,0.123,0.127,0.127,0.131,0.136
47,0.097,0.11,0.101,0.123,0.127,0.138,0.129,0.132,0.14,0.129,0.137
48,0.104,0.113,0.12,0.121,0.112,0.118,0.13,0.127,0.131,0.123,0.135
49,0.093,0.111,0.126,0.115,0.113,0.133,0.132,0.128,0.127,0.137,0.133
50,0.102,0.109,0.117,0.109,0.113,0.123,0.132,0.123,0.133,0.13,0.132
51,0.09,0.1,0.108,0.123,0.119,0.121,0.117,0.123,0.131,0.136,0.134
52,0.089,0.11,0.115,0.112,0.114,0.112,0.119,0.134,0.133,0.132,0.135
53,0.092,0.116,0.103,0.114,0.121,0.127,0.126,0.127,0.131,0.142,0.128
54,0.1,0.118,0.103,0.114,0.113,0.121,0.132,0.13,0.128,0.143,0.143
55,0.099,0.119,0.119,0.125,0.127,0.128,0.128,0.128,0.141,0.137,0.139
56,0.092,0.099,0.104,0.122,0.115,0.114,0.125,0.128,0.127,0.14,0.137
57,0.099,0.102,0.103,0.105,0.112,0.119,0.131,0.126,0.138,0.128,0.131
58,0.093,0.124,0.115,0.106,0.112,0.122,0.129,0.128,0.128,0.146,0.146
59,0.094,0.125,0.1,0.112,0.126,0.123,0.138,0.131,0.134,0.124,0.138
60,0.094,0.095,0.105,0.127,0.127,0.122,0.129,0.133,0.136,0.148,0.131
61,0.089,0.111,0.106,0.113,0.121,0.129,0.134,0.129,0.131,0.13,0.123
62,0.092,0.1,0.119,0.105,0.119,0.114,0.135,0.142,0.129,0.136,0.14
63,0.098,0.12,0.101,0.105,0.102,0.11,0.125,0.122,0.127,0.136,0.144
64,0.094,0.098,0.111,0.119,0.131,0.129,0.129,0.123,0.12,0.122,0.134
65,0.093,0.096,0.105,0.112,0.118,0.129,0.13,0.14,0.132,0.133,0.136
66,0.105,0.112,0.116,0.115,0.125,0.128,0.121,0.131,0.132,0.137,0.123
67,0.087,0.1,0.104,0.111,0.108,0.113,0.126,0.131,0.144,0.13,0.133
68,0.094,0.103,0.109,0.111,0.124,0.124,0.128,0.135,0.12,0.131,0.142
69,0.092,0.105,0.12,0.109,0.118,0.133,0.128,0.132,0.125,0.14,0.145
70,0.093,0.1,0.107,0.127,0.116,0.125,0.132,0.131,0.137,0.129,0.14
71,0.091,0.111,0.113,0.109,0.111,0.123,0.126,0.138,0.128,0.131,0.137
72,0.091,0.117,0.1,0.103,0.123,0.122,0.129,0.127,0.139,0.132,0.141
73,0.087,0.109,0.12,0.117,0.122,0.125,0.125,0.135,0.129,0.13,0.136
74,0.101,0.116,0.11,0.107,0.118,0.111,0.124,0.133,0.13,0.12,0.13
75,0.09,0.106,0.107,0.111,0.127,0.126,0.13,0.132,0.137,0.135,0.143
76,0.089,0.108,0.111,0.108,0.122,0.134,0.131,0.126,0.129,0.141,0.137
77,0.089,0.109,0.114,0.127,0.111,0.12,0.123,0.133,0.142,0.139,0.146
78,0.101,0.122,0.121,0.128,0.127,0.134,0.135,0.125,0.127,0.129,0.14
79,0.1,0.116,0.114,0.111,0.137,0.117,0.131,0.125,0.143,0.124,0.141
80,0.099,0.115,0.117,0.103,0.119,0.133,0.133,0.129,0.137,0.134,0.137
81,0.098,0.098,0.11,0.109,0.122,0.119,0.119,0.119,0.135,0.137,0.135
82,0.104,0.095,0.11,0.122,0.126,0.126,0.133,0.127,0.135,0.127,0.133
83,0.095,0.103,0.118,0.101,0.114,0.117,0.13,0.128,0.134,0.129,0.146
84,0.101,0.104,0.121,0.108,0.126,0.126,0.124,0.14,0.134,0.136,0.14
85,0.097,0.1,0.11,0.122,0.121,0.121,0.129,0.128,0.131,0.135,0.141
86,0.1,0.113,0.111,0.11,0.119,0.111,0.122,0.127,0.12,0.133,0.132
87,0.1,0.096,0.109,0.113,0.123,0.113,0.12,0.124,0.124,0.136,0.143
88,0.095,0.109,0.101,0.11,0.129,0.134,0.117,0.118,0.132,0.137,0.129
89,0.103,0.101,0.101,0.104,0.114,0.108,0.121,0.137,0.124,0.136,0.127
90,0.084,0.1,0.114,0.127,0.116,0.11,0.116,0.138,0.133,0.131,0.127
91,0.088,0.121,0.116,0.122,0.12,0.123,0.134,0.134,0.127,0.142,0.139
92,0.102,0.115,0.114,0.112,0.124,0.117,0.117,0.118,0.137,0.135,0.14
93,0.101,0.1,0.105,0.119,0.129,0.131,0.122,0.139,0.117,0.137,0.133
94,0.092,0.108,0.102,0.109,0.116,0.13,0.117,0.119,0.126,0.138,0.139
95,0.1,0.098,0.109,0.111,0.12,0.125,0.127,0.124,0.135,0.134,0.135
96,0.096,0.102,0.108,0.104,0.119,0.11,0.113,0.133,0.123,0.14,0.14
97,0.092,0.102,0.103,0.114,0.12,0.108,0.121,0.139,0.137,0.133,0.134
98,0.101,0.114,0.108,0.111,0.119,0.119,0.116,0.121,0.128,0.129,0.141
99,0.099,0.113,0.104,0.122,0.12,0.115,0.121,0.13,0.128,0.136,0.132
