,0,10,20,30,40,50,60,70,80,90,100
0,0.085,0.088,0.091,0.099,0.096,0.094,0.112,0.11,0.105,0.099,0.098
1,0.089,0.096,0.108,0.102,0.1,0.099,0.105,0.107,0.104,0.103,0.105
2,0.093,0.107,0.097,0.104,0.1,0.097,0.101,0.106,0.107,0.101,0.105
3,0.096,0.103,0.111,0.099,0.099,0.097,0.101,0.106,0.108,0.098,0.105
4,0.095,0.098,0.1,0.099,0.101,0.101,0.1,0.107,0.087,0.086,0.103
5,0.104,0.096,0.1,0.105,0.105,0.109,0.103,0.111,0.097,0.113,0.103
6,0.091,0.094,0.101,0.097,0.102,0.109,0.101,0.096,0.106,0.102,0.104
7,0.101,0.107,0.101,0.105,0.105,0.101,0.107,0.102,0.106,0.104,0.096
8,0.097,0.109,0.103,0.1,0.099,0.105,0.102,0.107,0.102,0.107,0.112
9,0.092,0.102,0.103,0.096,0.103,0.101,0.095,0.096,0.097,0.108,0.107
10,0.092,0.108,0.094,0.093,0.101,0.112,0.106,0.101,0.106,0.113,0.097
11,0.103,0.103,0.106,0.104,0.102,0.087,0.107,0.1,0.105,0.105,0.103
12,0.085,0.102,0.097,0.102,0.106,0.108,0.106,0.102,0.102,0.098,0.1
13,0.09,0.1,0.101,0.109,0.1,0.1,0.098,0.097,0.11,0.101,0.106
14,0.093,0.098,0.101,0.103,0.1,0.105,0.107,0.107,0.097,0.099,0.101
15,0.097,0.104,0.103,0.104,0.108,0.095,0.098,0.103,0.11,0.097,0.103
16,0.083,0.103,0.096,0.102,0.094,0.096,0.097,0.106,0.1,0.109,0.108
17,0.089,0.088,0.106,0.099,0.104,0.111,0.101,0.097,0.101,0.105,0.104
18,0.097,0.112,0.089,0.098,0.098,0.101,0.106,0.1,0.106,0.104,0.099
19,0.088,0.101,0.102,0.104,0.096,0.097,0.106,0.109,0.11,0.108,0.103
20,0.088,0.098,0.109,0.106,0.102,0.108,0.101,0.108,0.103,0.105,0.11
21,0.088,0.092,0.109,0.099,0.103,0.112,0.101,0.105,0.107,0.105,0.094
22,0.094,0.104,0.102,0.099,0.105,0.102,0.092,0.104,0.11,0.105,0.102
23,0.095,0.102,0.097,0.102,0.107,0.099,0.102,0.091,0.107,0.101,0.104
24,0.095,0.105,0.099,0.108,0.1,0.1,0.112,0.102,0.109,0.11,0.094
25,0.098,0.102,0.105,0.106,0.102,0.099,0.094,0.104,0.096,0.105,0.113
26,0.089,0.092,0.102,0.1,0.094,0.102,0.111,0.104,0.1,0.115,0.109
27,0.098,0.1,0.098,0.105,0.108,0.1,0.101,0.109,0.108,0.107,0.105
28,0.086,0.101,0.101,0.099,0.11,0.105,0.11,0.106,0.102,0.104,0.105
29,0.087,0.097,0.103,0.1,0.102,0.106,0.104,0.097,0.104,0.111,0.101
30,0.086,0.107,0.101,0.104,0.105,0.097,0.108,0.101,0.101,0.097,0.099
31,0.086,0.102,0.095,0.097,0.1,0.092,0.104,0.103,0.107,0.099,0.098
32,0.096,0.095,0.097,0.097,0.101,0.1,0.108,0.103,0.107,0.096,0.109
33,0.082,0.107,0.106,0.108,0.11,0.1,0.099,0.103,0.11,0.105,0.103
34,0.09,0.096,0.092,0.11,0.108,0.1,0.098,0.101,0.103,0.106,0.097
35,0.088,0.096,0.103,0.096,0.103,0.102,0.11,0.105,0.098,0.107,0.111
36,0.086,0.103,0.102,0.107,0.101,0.103,0.104,0.098,0.104,0.107,0.112
37,0.088,0.095,0.102,0.104,0.092,0.094,0.107,0.1,0.107,0.104,0.118
38,0.087,0.097,0.093,0.101,0.102,0.096,0.102,0.107,0.104,0.097,0.104
39,0.095,0.104,0.111,0.094,0.101,0.101,0.099,0.105,0.098,0.106,0.107
40,0.083,0.095,0.096,0.101,0.102,0.095,0.106,0.111,0.099,0.103,0.104
41,0.093,0.093,0.103,0.101,0.106,0.101,0.102,0.101,0.106,0.109,0.099
42,0.092,0.099,0.106,0.104,0.108,0.098,0.104,0.109,0.098,0.109,0.105
43,0.093,0.106,0.096,0.102,0.094,0.105,0.106,0.1,0.109,0.107,0.108
44,0.1,0.094,0.104,0.108,0.105,0.101,0.109,0.105,0.098,0.104,0.098
45,0.094,0.112,0.107,0.095,0.093,0.107,0.11,0.099,0.109,0.101,0.097
46,0.09,0.104,0.105,0.1,0.103,0.102,0.114,0.099,0.109,0.11,0.099
47,0.083,0.088,0.094,0.096,0.092,0.094,0.106,0.086,0.083,0.107,0.105
48,0.092,0.102,0.105,0.099,0.106,0.113,0.103,0.1,0.103,0.099,0.102
49,0.092,0.108,0.108,0.103,0.092,0.101,0.086,0.096,0.099,0.105,0.109
50,0.091,0.1,0.096,0.104,0.099,0.103,0.103,0.1,0.103,0.106,0.102
51,0.092,0.1,0.103,0.101,0.103,0.092,0.103,0.106,0.11,0.101,0.1
