,0,10,20,30,40,50,60,70,80,90,100
0,0.093,0.105,0.114,0.105,0.129,0.125,0.126,0.132,0.131,0.144,0.135
1,0.089,0.103,0.114,0.121,0.115,0.111,0.123,0.131,0.125,0.134,0.134
2,0.092,0.1,0.108,0.118,0.128,0.124,0.127,0.136,0.133,0.145,0.148
3,0.093,0.101,0.11,0.118,0.122,0.121,0.127,0.112,0.125,0.13,0.133
4,0.095,0.12,0.111,0.12,0.111,0.11,0.115,0.129,0.136,0.138,0.132
5,0.084,0.108,0.113,0.12,0.112,0.127,0.133,0.134,0.143,0.131,0.144
6,0.094,0.112,0.109,0.11,0.124,0.106,0.125,0.128,0.132,0.137,0.143
7,0.101,0.11,0.139,0.117,0.106,0.113,0.115,0.125,0.132,0.133,0.147
8,0.104,0.107,0.103,0.106,0.126,0.128,0.133,0.132,0.134,0.134,0.143
9,0.092,0.111,0.112,0.121,0.131,0.122,0.121,0.129,0.12,0.14,0.135
10,0.097,0.11,0.119,0.122,0.107,0.117,0.122,0.127,0.137,0.137,0.133
11,0.107,0.101,0.114,0.113,0.121,0.127,0.134,0.13,0.139,0.132,0.144
12,0.098,0.115,0.112,0.116,0.109,0.112,0.134,0.138,0.13,0.136,0.143
13,0.099,0.1,0.107,0.118,0.123,0.117,0.122,0.129,0.134,0.131,0.141
14,0.096,0.102,0.105,0.125,0.122,0.114,0.133,0.125,0.129,0.13,0.136
15,0.09,0.115,0.1,0.115,0.115,0.135,0.131,0.13,0.131,0.137,0.137
16,0.1,0.114,0.106,0.109,0.116,0.117,0.127,0.13,0.13,0.124,0.135
17,0.097,0.101,0.107,0.102,0.11,0.121,0.115,0.123,0.137,0.127,0.141
18,0.089,0.1,0.104,0.126,0.109,0.117,0.125,0.131,0.13,0.136,0.142
19,0.082,0.108,0.125,0.107,0.114,0.118,0.123,0.123,0.128,0.131,0.14
20,0.098,0.105,0.099,0.117,0.121,0.124,0.123,0.119,0.125,0.137,0.132
21,0.101,0.118,0.113,0.124,0.116,0.125,0.118,0.121,0.132,0.139,0.143
22,0.093,0.105,0.104,0.105,0.108,0.116,0.127,0.126,0.12,0.14,0.143
23,0.09,0.101,0.117,0.108,0.109,0.118,0.122,0.135,0.118,0.129,0.133
24,0.09,0.102,0.101,0.117,0.113,0.122,0.127,0.135,0.131,0.132,0.144
25,0.095,0.104,0.1,0.115,0.11,0.11,0.136,0.125,0.123,0.134,0.124
26,0.095,0.098,0.099,0.114,0.118,0.124,0.124,0.119,0.136,0.125,0.129
27,0.091,0.1,0.108,0.117,0.125,0.123,0.128,0.134,0.128,0.132,0.125
28,0.094,0.102,0.102,0.121,0.108,0.117,0.127,0.125,0.133,0.135,0.129
29,0.095,0.112,0.109,0.105,0.11,0.13,0.127,0.131,0.13,0.136,0.135
30,0.094,0.101,0.11,0.118,0.107,0.113,0.131,0.134,0.14,0.14,0.139
31,0.087,0.098,0.12,0.122,0.123,0.127,0.118,0.14,0.134,0.134,0.145
32,0.095,0.111,0.106,0.116,0.105,0.127,0.116,0.115,0.119,0.124,0.134
33,0.097,0.106,0.111,0.11,0.118,0.114,0.116,0.134,0.112,0.132,0.139
34,0.094,0.115,0.102,0.108,0.118,0.13,0.133,0.132,0.119,0.132,0.131
35,0.099,0.099,0.118,0.106,0.118,0.132,0.129,0.136,0.136,0.144,0.129
36,0.091,0.103,0.11,0.121,0.118,0.112,0.122,0.124,0.123,0.138,0.123
37,0.102,0.112,0.111,0.108,0.122,0.113,0.113,0.113,0.137,0.132,0.133
38,0.096,0.099,0.109,0.115,0.12,0.123,0.126,0.126,0.13,0.139,0.137
39,0.091,0.104,0.104,0.122,0.124,0.131,0.132,0.132,0.135,0.132,0.14
40,0.101,0.101,0.108,0.105,0.105,0.11,0.13,0.131,0.127,0.135,0.143
41,0.1,0.109,0.114,0.111,0.117,0.105,0.121,0.138,0.127,0.144,0.141
42,0.101,0.104,0.107,0.105,0.103,0.117,0.128,0.122,0.132,0.139,0.137
