,0,10,20,30,40,50,60,70,80,90,100
0,0.096,0.137,0.178,0.219,0.261,0.316,0.364,0.386,0.419,0.455,0.494
1,0.083,0.141,0.181,0.212,0.264,0.297,0.351,0.381,0.429,0.457,0.512
2,0.087,0.144,0.177,0.22,0.259,0.306,0.347,0.395,0.436,0.466,0.503
3,0.084,0.139,0.175,0.218,0.259,0.306,0.345,0.393,0.425,0.456,0.499
4,0.085,0.141,0.181,0.214,0.253,0.303,0.345,0.382,0.426,0.449,0.515
5,0.09,0.14,0.173,0.219,0.25,0.317,0.341,0.387,0.416,0.465,0.506
6,0.084,0.138,0.178,0.222,0.253,0.299,0.343,0.385,0.426,0.462,0.493
7,0.082,0.136,0.175,0.214,0.264,0.3,0.34,0.379,0.436,0.456,0.501
8,0.085,0.136,0.178,0.214,0.252,0.303,0.343,0.383,0.416,0.461,0.5
9,0.085,0.14,0.18,0.221,0.252,0.297,0.342,0.376,0.412,0.466,0.501
10,0.082,0.14,0.174,0.214,0.256,0.296,0.343,0.402,0.425,0.45,0.504
11,0.083,0.134,0.172,0.22,0.255,0.31,0.351,0.38,0.438,0.454,0.502
12,0.083,0.134,0.179,0.212,0.259,0.307,0.341,0.388,0.423,0.462,0.487
13,0.084,0.141,0.173,0.214,0.262,0.3,0.347,0.382,0.42,0.456,0.497
14,0.085,0.134,0.171,0.21,0.262,0.298,0.34,0.388,0.421,0.48,0.495
15,0.083,0.134,0.174,0.215,0.262,0.307,0.347,0.389,0.426,0.469,0.497
16,0.085,0.139,0.176,0.216,0.266,0.298,0.351,0.372,0.418,0.456,0.498
17,0.083,0.139,0.179,0.218,0.255,0.307,0.346,0.382,0.426,0.477,0.503
18,0.085,0.141,0.177,0.217,0.262,0.308,0.353,0.379,0.427,0.451,0.492
19,0.082,0.138,0.182,0.214,0.253,0.3,0.371,0.383,0.432,0.469,0.516
20,0.081,0.141,0.173,0.213,0.261,0.3,0.349,0.385,0.43,0.484,0.499
21,0.087,0.139,0.179,0.209,0.266,0.304,0.336,0.382,0.42,0.473,0.493
22,0.084,0.138,0.182,0.222,0.269,0.306,0.344,0.38,0.416,0.472,0.5
23,0.087,0.143,0.177,0.218,0.258,0.299,0.349,0.383,0.425,0.474,0.497
24,0.083,0.135,0.174,0.218,0.264,0.3,0.344,0.37,0.411,0.453,0.499
25,0.087,0.138,0.183,0.223,0.255,0.303,0.348,0.391,0.419,0.463,0.51
26,0.081,0.139,0.174,0.21,0.258,0.306,0.338,0.378,0.428,0.47,0.51
27,0.084,0.143,0.175,0.209,0.263,0.303,0.351,0.378,0.42,0.446,0.498
28,0.085,0.135,0.186,0.212,0.258,0.296,0.345,0.378,0.426,0.461,0.511
29,0.086,0.145,0.171,0.211,0.254,0.304,0.358,0.385,0.434,0.47,0.51
30,0.085,0.137,0.178,0.216,0.256,0.301,0.349,0.383,0.416,0.464,0.51
31,0.087,0.135,0.175,0.216,0.256,0.309,0.352,0.384,0.404,0.468,0.495
32,0.09,0.136,0.183,0.211,0.258,0.304,0.352,0.382,0.42,0.457,0.496
33,0.083,0.138,0.183,0.216,0.259,0.291,0.352,0.383,0.419,0.47,0.507
34,0.083,0.135,0.179,0.213,0.257,0.302,0.366,0.38,0.431,0.448,0.5
35,0.083,0.14,0.175,0.216,0.257,0.3,0.349,0.383,0.419,0.469,0.498
36,0.085,0.136,0.18,0.224,0.257,0.308,0.341,0.389,0.421,0.451,0.502
37,0.083,0.135,0.175,0.217,0.262,0.298,0.349,0.384,0.413,0.464,0.487
38,0.081,0.137,0.175,0.221,0.263,0.3,0.347,0.376,0.427,0.473,0.499
39,0.083,0.134,0.176,0.211,0.264,0.295,0.348,0.387,0.433,0.454,0.511
40,0.084,0.138,0.176,0.211,0.259,0.303,0.348,0.393,0.432,0.46,0.496
41,0.092,0.138,0.182,0.216,0.258,0.307,0.349,0.387,0.431,0.468,0.502
42,0.082,0.137,0.176,0.217,0.26,0.294,0.343,0.388,0.429,0.466,0.488
43,0.084,0.14,0.179,0.215,0.264,0.298,0.336,0.388,0.422,0.46,0.5
44,0.086,0.134,0.171,0.211,0.257,0.3,0.345,0.386,0.429,0.466,0.498
45,0.085,0.139,0.182,0.211,0.251,0.312,0.334,0.387,0.417,0.453,0.5
46,0.082,0.142,0.178,0.211,0.261,0.296,0.355,0.382,0.411,0.462,0.505
47,0.085,0.139,0.176,0.215,0.259,0.305,0.346,0.382,0.413,0.461,0.502
48,0.084,0.138,0.178,0.218,0.266,0.296,0.34,0.385,0.409,0.456,0.496
49,0.085,0.136,0.173,0.208,0.256,0.298,0.35,0.383,0.43,0.456,0.504
50,0.085,0.136,0.168,0.215,0.268,0.308,0.344,0.384,0.428,0.46,0.503
51,0.083,0.137,0.178,0.221,0.25,0.305,0.35,0.383,0.422,0.458,0.499
52,0.087,0.138,0.179,0.215,0.258,0.303,0.348,0.399,0.419,0.48,0.526
53,0.085,0.135,0.176,0.212,0.257,0.295,0.35,0.397,0.414,0.456,0.497
54,0.087,0.14,0.176,0.216,0.262,0.297,0.343,0.4,0.416,0.459,0.492
55,0.083,0.139,0.177,0.217,0.26,0.293,0.353,0.386,0.43,0.458,0.498
56,0.082,0.136,0.172,0.22,0.256,0.292,0.356,0.369,0.422,0.468,0.504
57,0.084,0.138,0.172,0.214,0.261,0.301,0.341,0.375,0.417,0.457,0.499
58,0.083,0.137,0.176,0.215,0.261,0.305,0.338,0.387,0.418,0.466,0.495
59,0.088,0.138,0.174,0.211,0.255,0.303,0.349,0.391,0.421,0.467,0.501
60,0.087,0.14,0.183,0.217,0.257,0.295,0.356,0.375,0.424,0.453,0.495
61,0.081,0.137,0.178,0.212,0.265,0.3,0.352,0.386,0.427,0.459,0.505
62,0.085,0.14,0.176,0.218,0.271,0.301,0.345,0.387,0.418,0.458,0.496
63,0.083,0.137,0.174,0.211,0.258,0.294,0.351,0.383,0.413,0.471,0.498
64,0.083,0.139,0.176,0.216,0.261,0.303,0.348,0.382,0.427,0.461,0.494
65,0.087,0.142,0.176,0.224,0.262,0.311,0.345,0.383,0.41,0.462,0.51
66,0.084,0.136,0.174,0.22,0.262,0.297,0.345,0.384,0.418,0.486,0.498
67,0.086,0.135,0.181,0.216,0.257,0.298,0.345,0.4,0.432,0.479,0.49
68,0.081,0.141,0.178,0.215,0.265,0.297,0.352,0.382,0.416,0.453,0.499
69,0.084,0.138,0.175,0.215,0.262,0.293,0.348,0.412,0.435,0.47,0.512
70,0.083,0.142,0.192,0.234,0.274,0.305,0.351,0.379,0.425,0.464,0.507
71,0.081,0.141,0.173,0.222,0.255,0.306,0.337,0.373,0.424,0.466,0.496
72,0.084,0.137,0.178,0.218,0.274,0.319,0.368,0.397,0.423,0.466,0.491
73,0.082,0.139,0.183,0.215,0.257,0.307,0.346,0.386,0.431,0.473,0.504
74,0.081,0.137,0.179,0.226,0.264,0.313,0.36,0.39,0.431,0.467,0.501
75,0.086,0.136,0.181,0.222,0.262,0.299,0.35,0.388,0.424,0.466,0.523
76,0.083,0.137,0.181,0.217,0.278,0.317,0.361,0.38,0.433,0.47,0.498
77,0.085,0.137,0.171,0.219,0.276,0.317,0.349,0.383,0.443,0.468,0.496
78,0.086,0.134,0.174,0.223,0.264,0.307,0.345,0.383,0.43,0.456,0.532
79,0.086,0.143,0.182,0.222,0.262,0.299,0.357,0.383,0.435,0.465,0.509
80,0.084,0.137,0.174,0.224,0.27,0.318,0.357,0.386,0.422,0.472,0.514
81,0.088,0.139,0.18,0.215,0.269,0.308,0.351,0.393,0.435,0.462,0.49
82,0.079,0.138,0.176,0.217,0.263,0.302,0.354,0.393,0.422,0.462,0.49
83,0.08,0.136,0.173,0.215,0.271,0.315,0.357,0.393,0.425,0.46,0.507
84,0.085,0.138,0.179,0.22,0.267,0.308,0.361,0.397,0.421,0.455,0.497
85,0.083,0.135,0.176,0.218,0.276,0.302,0.358,0.397,0.43,0.468,0.514
86,0.082,0.141,0.177,0.207,0.263,0.318,0.364,0.395,0.434,0.459,0.504
87,0.083,0.139,0.176,0.217,0.267,0.31,0.354,0.403,0.425,0.479,0.5
88,0.082,0.142,0.176,0.223,0.267,0.305,0.338,0.382,0.424,0.479,0.502
89,0.088,0.139,0.18,0.219,0.259,0.311,0.368,0.388,0.426,0.476,0.505
90,0.082,0.137,0.179,0.214,0.26,0.3,0.352,0.399,0.426,0.462,0.501
91,0.084,0.138,0.178,0.218,0.254,0.293,0.338,0.389,0.429,0.472,0.505
92,0.087,0.14,0.177,0.22,0.266,0.315,0.351,0.391,0.434,0.462,0.504
93,0.085,0.14,0.175,0.221,0.274,0.318,0.353,0.393,0.44,0.448,0.492
94,0.082,0.141,0.176,0.222,0.274,0.308,0.346,0.382,0.432,0.469,0.498
