,0,10,20,30,40,50,60,70,80,90,100
0,0.103,0.214,0.305,0.397,0.53,0.596,0.703,0.799,0.874,0.987,1.08
1,0.097,0.198,0.31,0.421,0.492,0.592,0.683,0.799,0.885,0.983,1.09
2,0.089,0.201,0.301,0.405,0.511,0.593,0.711,0.799,0.896,0.975,1.066
3,0.098,0.197,0.322,0.411,0.505,0.62,0.672,0.77,0.892,1.014,1.056
4,0.098,0.195,0.314,0.411,0.508,0.597,0.714,0.814,0.905,0.993,1.087
5,0.099,0.198,0.312,0.41,0.506,0.602,0.728,0.78,0.87,0.967,1.085
6,0.103,0.208,0.316,0.412,0.5,0.6,0.716,0.776,0.892,0.975,1.048
7,0.103,0.203,0.311,0.416,0.494,0.6,0.706,0.775,0.874,0.961,1.065
8,0.099,0.198,0.304,0.409,0.505,0.602,0.707,0.819,0.989,0.989,1.046
9,0.101,0.199,0.312,0.399,0.508,0.614,0.709,0.789,0.907,0.991,1.07
10,0.104,0.201,0.299,0.408,0.502,0.609,0.704,0.806,0.873,0.999,1.09
11,0.092,0.2,0.306,0.403,0.522,0.6,0.694,0.788,0.886,0.961,1.064
12,0.095,0.197,0.293,0.415,0.497,0.609,0.695,0.767,0.899,0.956,1.072
13,0.105,0.201,0.313,0.405,0.496,0.576,0.717,0.781,0.886,0.999,1.051
14,0.09,0.204,0.328,0.404,0.492,0.6,0.692,0.795,0.877,0.945,1.084
15,0.097,0.197,0.314,0.404,0.513,0.598,0.708,0.79,0.88,0.974,1.091
16,0.101,0.198,0.309,0.415,0.52,0.622,0.69,0.792,0.903,0.945,1.075
17,0.096,0.202,0.309,0.395,0.494,0.6,0.694,0.807,0.896,0.979,1.037
18,0.094,0.195,0.322,0.411,0.499,0.602,0.697,0.791,0.866,0.982,1.077
19,0.1,0.216,0.312,0.415,0.505,0.592,0.666,0.784,0.877,0.972,1.063
20,0.099,0.198,0.3,0.412,0.498,0.592,0.704,0.79,0.891,0.998,1.122
21,0.096,0.198,0.306,0.412,0.505,0.6,0.725,0.798,0.888,0.971,1.068
22,0.097,0.2,0.304,0.411,0.508,0.604,0.705,0.797,0.866,1.0,1.065
23,0.102,0.211,0.318,0.41,0.504,0.614,0.701,0.79,0.882,0.953,1.082
24,0.092,0.197,0.314,0.42,0.503,0.621,0.693,0.789,0.895,0.983,1.079
25,0.104,0.199,0.316,0.418,0.508,0.601,0.694,0.802,0.898,0.975,1.066
26,0.095,0.199,0.32,0.409,0.518,0.606,0.683,0.792,0.891,0.981,1.075
27,0.099,0.195,0.323,0.397,0.504,0.631,0.684,0.782,0.891,0.994,1.061
28,0.104,0.2,0.324,0.404,0.502,0.622,0.682,0.773,0.872,0.976,1.087
29,0.095,0.215,0.319,0.395,0.501,0.596,0.724,0.815,0.908,1.004,1.057
30,0.098,0.204,0.305,0.4,0.499,0.634,0.72,0.769,0.856,0.969,1.061
31,0.098,0.197,0.32,0.414,0.518,0.601,0.677,0.792,0.883,0.959,1.061
32,0.106,0.2,0.297,0.417,0.537,0.602,0.726,0.773,0.887,0.973,1.067
33,0.098,0.214,0.311,0.405,0.506,0.607,0.707,0.77,0.865,0.976,1.067
34,0.089,0.194,0.304,0.401,0.525,0.599,0.683,0.809,0.9,0.97,1.062
35,0.099,0.198,0.3,0.42,0.507,0.591,0.71,0.818,0.87,0.95,1.067
36,0.101,0.205,0.297,0.402,0.518,0.608,0.699,0.814,0.876,0.99,1.063
37,0.099,0.211,0.291,0.416,0.527,0.596,0.711,0.783,0.871,0.964,1.068
38,0.102,0.201,0.307,0.391,0.497,0.621,0.707,0.8,0.883,0.976,1.056
39,0.096,0.199,0.306,0.414,0.496,0.609,0.694,0.791,0.87,1.003,1.084
40,0.097,0.196,0.304,0.4,0.481,0.602,0.725,0.781,0.882,0.997,1.035
41,0.099,0.196,0.297,0.409,0.506,0.617,0.711,0.781,0.874,0.985,1.091
42,0.095,0.204,0.313,0.43,0.522,0.599,0.696,0.783,0.88,0.991,1.083
43,0.101,0.213,0.312,0.413,0.502,0.62,0.709,0.794,0.869,0.98,1.067
44,0.102,0.199,0.322,0.399,0.511,0.597,0.716,0.803,0.909,0.985,1.075
45,0.1,0.222,0.316,0.415,0.487,0.613,0.691,0.792,0.885,0.969,1.054
46,0.098,0.212,0.306,0.408,0.498,0.613,0.683,0.788,0.896,0.962,1.155
47,0.098,0.197,0.327,0.408,0.49,0.598,0.7,0.795,0.891,0.985,1.086
48,0.098,0.215,0.309,0.418,0.505,0.606,0.714,0.779,0.883,0.968,1.076
49,0.094,0.197,0.317,0.388,0.517,0.598,0.682,0.772,0.885,0.983,1.073
50,0.096,0.209,0.314,0.418,0.495,0.604,0.713,0.798,0.879,0.973,1.064
51,0.096,0.2,0.313,0.399,0.502,0.62,0.721,0.769,0.878,0.972,1.056
52,0.101,0.202,0.317,0.404,0.51,0.595,0.71,0.812,0.867,0.99,1.053
53,0.098,0.199,0.316,0.403,0.495,0.595,0.728,0.786,0.872,0.985,1.082
54,0.1,0.199,0.317,0.402,0.511,0.605,0.693,0.812,0.884,0.995,1.069
55,0.095,0.196,0.323,0.403,0.503,0.61,0.667,0.804,0.857,0.953,1.066
56,0.098,0.202,0.325,0.408,0.496,0.627,0.695,0.783,0.857,0.978,1.07
57,0.1,0.197,0.317,0.412,0.503,0.594,0.682,0.77,0.906,0.978,1.117
58,0.096,0.199,0.31,0.414,0.494,0.585,0.717,0.82,0.879,0.985,1.071
59,0.095,0.2,0.31,0.398,0.486,0.617,0.704,0.78,0.871,0.972,1.099
60,0.093,0.199,0.318,0.408,0.518,0.602,0.693,0.791,0.884,0.967,1.065
61,0.101,0.2,0.307,0.403,0.505,0.604,0.734,0.759,0.897,0.982,1.082
62,0.103,0.198,0.308,0.421,0.511,0.594,0.718,0.788,0.886,1.002,1.069
63,0.097,0.196,0.307,0.423,0.514,0.607,0.675,0.792,0.891,0.972,1.076
64,0.129,0.2,0.389,0.416,0.5,0.624,0.706,0.774,0.886,0.978,1.082
65,0.095,0.196,0.304,0.397,0.52,0.611,0.691,0.775,0.882,0.951,1.068
66,0.095,0.199,0.31,0.393,0.498,0.621,0.713,0.778,0.883,0.978,1.058
67,0.098,0.201,0.289,0.407,0.498,0.601,0.681,0.787,0.88,1.0,1.07
68,0.103,0.216,0.316,0.417,0.514,0.602,0.704,0.803,0.908,1.002,1.068
69,0.093,0.206,0.314,0.414,0.511,0.606,0.714,0.794,0.877,0.979,1.063
70,0.097,0.199,0.301,0.403,0.509,0.594,0.691,0.787,0.898,0.951,1.069
71,0.106,0.196,0.316,0.42,0.503,0.605,0.69,0.788,0.898,1.002,1.081
72,0.095,0.203,0.311,0.414,0.498,0.612,0.726,0.824,0.893,0.984,1.068
73,0.1,0.199,0.304,0.411,0.502,0.602,0.713,0.766,0.883,0.984,1.074
74,0.1,0.202,0.302,0.406,0.494,0.629,0.699,0.772,0.877,0.99,1.086
75,0.095,0.197,0.307,0.405,0.495,0.608,0.684,0.771,0.885,0.979,1.048
76,0.098,0.2,0.325,0.408,0.486,0.602,0.719,0.799,0.886,0.958,1.082
77,0.101,0.198,0.312,0.402,0.511,0.616,0.679,0.795,0.865,0.976,1.077
78,0.095,0.2,0.306,0.412,0.502,0.587,0.698,0.779,0.891,0.97,1.076
79,0.094,0.219,0.311,0.425,0.491,0.607,0.687,0.799,0.859,1.01,1.081
80,0.091,0.201,0.31,0.408,0.53,0.599,0.714,0.779,0.884,0.967,1.068
81,0.096,0.196,0.304,0.413,0.502,0.602,0.703,0.786,0.879,0.979,1.074
82,0.105,0.2,0.297,0.414,0.501,0.603,0.684,0.772,0.877,1.001,1.054
83,0.095,0.21,0.307,0.41,0.493,0.582,0.729,0.757,0.883,0.98,1.076
84,0.104,0.197,0.316,0.401,0.498,0.584,0.707,0.783,0.89,0.989,1.084
85,0.098,0.198,0.319,0.392,0.502,0.596,0.708,0.796,0.877,0.985,1.075
86,0.102,0.219,0.309,0.403,0.498,0.609,0.731,0.799,0.871,0.97,1.087
87,0.097,0.203,0.301,0.418,0.522,0.591,0.701,0.806,0.895,1.006,1.108
88,0.102,0.199,0.31,0.395,0.509,0.591,0.702,0.801,0.888,0.97,1.068
89,0.095,0.2,0.315,0.41,0.51,0.605,0.693,0.803,0.891,0.986,1.092
90,0.088,0.196,0.33,0.414,0.497,0.587,0.715,0.782,0.886,0.996,1.091
91,0.104,0.213,0.304,0.405,0.505,0.59,0.703,0.789,0.883,0.995,1.061
92,0.096,0.199,0.309,0.414,0.506,0.606,0.705,0.775,0.896,1.0,1.06
93,0.095,0.198,0.307,0.399,0.507,0.606,0.706,0.786,0.88,0.995,1.08
94,0.096,0.203,0.295,0.407,0.517,0.609,0.732,0.795,0.905,0.985,1.092
95,0.098,0.2,0.311,0.415,0.502,0.594,0.699,0.773,0.916,0.96,1.055
96,0.099,0.197,0.314,0.414,0.516,0.587,0.712,0.789,0.882,1.007,1.037
97,0.095,0.198,0.3,0.409,0.495,0.616,0.713,0.78,0.89,1.005,1.08
