,0,10,20,30,40,50,60,70,80,90,100
0,0.11,0.15,0.188,0.228,0.272,0.313,0.37,0.393,0.423,0.474,0.511
1,0.106,0.145,0.183,0.228,0.269,0.31,0.369,0.388,0.43,0.481,0.515
2,0.109,0.149,0.189,0.228,0.264,0.312,0.357,0.396,0.427,0.46,0.514
3,0.115,0.148,0.186,0.231,0.274,0.311,0.351,0.39,0.428,0.478,0.498
4,0.11,0.151,0.188,0.226,0.275,0.311,0.352,0.383,0.413,0.465,0.489
5,0.111,0.149,0.192,0.226,0.268,0.308,0.364,0.388,0.435,0.49,0.486
6,0.115,0.15,0.185,0.226,0.265,0.309,0.349,0.384,0.42,0.466,0.502
7,0.111,0.15,0.182,0.23,0.265,0.3,0.353,0.402,0.438,0.458,0.505
8,0.112,0.156,0.192,0.23,0.267,0.305,0.365,0.39,0.431,0.476,0.502
9,0.111,0.146,0.182,0.23,0.27,0.306,0.353,0.393,0.421,0.466,0.498
10,0.112,0.145,0.185,0.232,0.264,0.307,0.349,0.395,0.423,0.463,0.497
11,0.109,0.153,0.188,0.23,0.275,0.309,0.342,0.388,0.428,0.47,0.505
12,0.11,0.151,0.186,0.223,0.273,0.308,0.351,0.388,0.421,0.481,0.511
13,0.112,0.152,0.198,0.223,0.262,0.309,0.37,0.392,0.426,0.471,0.508
14,0.113,0.149,0.185,0.226,0.275,0.31,0.361,0.386,0.434,0.463,0.514
15,0.108,0.154,0.191,0.224,0.258,0.312,0.354,0.388,0.424,0.478,0.502
16,0.107,0.156,0.193,0.219,0.266,0.31,0.362,0.393,0.43,0.485,0.499
17,0.109,0.157,0.185,0.227,0.264,0.314,0.35,0.389,0.427,0.474,0.506
18,0.11,0.149,0.185,0.226,0.273,0.311,0.36,0.391,0.439,0.473,0.505
19,0.109,0.148,0.188,0.228,0.281,0.311,0.352,0.389,0.428,0.485,0.501
20,0.111,0.146,0.191,0.225,0.267,0.312,0.351,0.399,0.419,0.46,0.509
21,0.112,0.146,0.184,0.231,0.261,0.308,0.36,0.383,0.42,0.469,0.495
22,0.116,0.158,0.186,0.229,0.27,0.311,0.358,0.385,0.423,0.465,0.512
23,0.107,0.154,0.189,0.229,0.267,0.314,0.357,0.385,0.436,0.465,0.492
24,0.108,0.152,0.187,0.224,0.272,0.314,0.357,0.394,0.43,0.469,0.507
25,0.11,0.144,0.193,0.225,0.267,0.313,0.347,0.407,0.422,0.471,0.502
26,0.11,0.145,0.187,0.228,0.266,0.31,0.351,0.393,0.427,0.469,0.499
27,0.113,0.15,0.188,0.228,0.276,0.326,0.354,0.389,0.437,0.457,0.512
28,0.117,0.151,0.19,0.224,0.267,0.307,0.341,0.389,0.433,0.478,0.513
29,0.108,0.147,0.192,0.23,0.272,0.313,0.343,0.396,0.435,0.463,0.512
30,0.111,0.148,0.2,0.218,0.268,0.32,0.355,0.401,0.416,0.46,0.502
31,0.114,0.147,0.181,0.226,0.265,0.31,0.356,0.397,0.427,0.472,0.507
32,0.107,0.145,0.192,0.228,0.268,0.308,0.348,0.394,0.423,0.464,0.496
33,0.106,0.148,0.183,0.228,0.265,0.306,0.35,0.395,0.426,0.457,0.505
34,0.116,0.152,0.185,0.228,0.264,0.31,0.357,0.392,0.425,0.455,0.513
35,0.114,0.142,0.192,0.232,0.274,0.301,0.35,0.391,0.423,0.473,0.514
36,0.115,0.147,0.186,0.221,0.27,0.31,0.345,0.396,0.425,0.468,0.508
37,0.114,0.148,0.188,0.227,0.272,0.301,0.347,0.379,0.427,0.469,0.506
38,0.117,0.148,0.19,0.22,0.258,0.309,0.348,0.388,0.428,0.452,0.519
39,0.112,0.147,0.183,0.228,0.271,0.308,0.35,0.399,0.447,0.464,0.512
40,0.107,0.148,0.185,0.225,0.276,0.315,0.358,0.393,0.424,0.465,0.498
41,0.111,0.15,0.188,0.224,0.265,0.306,0.356,0.39,0.432,0.464,0.509
42,0.109,0.155,0.184,0.225,0.266,0.306,0.349,0.393,0.424,0.46,0.504
