,0,10,20,30,40,50,60,70,80,90,100
0,0.131,0.126,0.137,0.146,0.143,0.142,0.143,0.141,0.144,0.13,0.148
1,0.127,0.136,0.141,0.135,0.13,0.134,0.144,0.144,0.144,0.144,0.151
2,0.123,0.135,0.139,0.129,0.145,0.142,0.14,0.151,0.14,0.133,0.148
3,0.126,0.12,0.144,0.141,0.139,0.138,0.135,0.125,0.133,0.145,0.132
4,0.121,0.141,0.145,0.135,0.151,0.144,0.123,0.144,0.144,0.14,0.148
5,0.128,0.135,0.144,0.124,0.138,0.146,0.137,0.147,0.124,0.134,0.131
6,0.113,0.121,0.136,0.124,0.14,0.142,0.127,0.142,0.129,0.145,0.132
7,0.117,0.139,0.146,0.13,0.127,0.138,0.128,0.129,0.122,0.139,0.131
8,0.109,0.136,0.132,0.14,0.147,0.142,0.148,0.15,0.149,0.149,0.137
9,0.11,0.119,0.12,0.123,0.126,0.145,0.128,0.13,0.128,0.15,0.155
10,0.128,0.139,0.137,0.151,0.147,0.142,0.124,0.139,0.146,0.154,0.138
11,0.132,0.126,0.124,0.133,0.144,0.13,0.132,0.137,0.141,0.146,0.153
12,0.12,0.147,0.148,0.122,0.128,0.126,0.14,0.137,0.133,0.137,0.148
13,0.115,0.131,0.137,0.127,0.146,0.139,0.139,0.148,0.128,0.148,0.141
14,0.138,0.135,0.132,0.127,0.132,0.124,0.137,0.144,0.145,0.139,0.149
15,0.123,0.134,0.138,0.127,0.151,0.149,0.149,0.125,0.144,0.139,0.146
16,0.112,0.129,0.141,0.141,0.123,0.147,0.158,0.143,0.147,0.151,0.154
17,0.13,0.142,0.137,0.131,0.151,0.138,0.127,0.133,0.133,0.139,0.14
18,0.127,0.148,0.133,0.147,0.133,0.128,0.133,0.142,0.134,0.151,0.205
19,0.129,0.124,0.131,0.14,0.125,0.134,0.137,0.145,0.13,0.141,0.155
20,0.129,0.141,0.128,0.142,0.145,0.17,0.125,0.14,0.14,0.15,0.142
21,0.13,0.14,0.121,0.134,0.143,0.127,0.144,0.133,0.14,0.142,0.141
22,0.13,0.143,0.132,0.129,0.139,0.139,0.148,0.152,0.137,0.131,0.137
23,0.133,0.138,0.13,0.141,0.127,0.138,0.142,0.142,0.138,0.146,0.147
24,0.119,0.122,0.132,0.136,0.153,0.134,0.125,0.127,0.125,0.129,0.148
25,0.119,0.132,0.142,0.141,0.146,0.143,0.146,0.148,0.138,0.153,0.141
26,0.124,0.126,0.138,0.127,0.133,0.145,0.144,0.135,0.135,0.138,0.131
27,0.117,0.126,0.139,0.125,0.131,0.152,0.145,0.138,0.149,0.132,0.155
28,0.115,0.141,0.148,0.142,0.144,0.128,0.137,0.144,0.15,0.145,0.157
29,0.128,0.142,0.133,0.146,0.134,0.147,0.124,0.126,0.132,0.148,0.148
30,0.128,0.146,0.133,0.141,0.149,0.128,0.137,0.148,0.151,0.139,0.152
31,0.126,0.137,0.131,0.122,0.128,0.129,0.124,0.123,0.146,0.144,0.15
32,0.126,0.132,0.127,0.143,0.125,0.14,0.125,0.127,0.142,0.13,0.149
33,0.129,0.137,0.138,0.135,0.15,0.143,0.143,0.145,0.15,0.143,0.128
34,0.125,0.139,0.149,0.141,0.135,0.137,0.138,0.142,0.136,0.135,0.13
35,0.108,0.142,0.144,0.124,0.142,0.12,0.131,0.144,0.127,0.133,0.134
36,0.118,0.141,0.125,0.141,0.129,0.121,0.138,0.129,0.133,0.134,0.153
37,0.12,0.131,0.139,0.141,0.13,0.126,0.141,0.142,0.147,0.145,0.15
38,0.119,0.149,0.144,0.132,0.151,0.137,0.144,0.136,0.123,0.13,0.157
39,0.13,0.142,0.132,0.138,0.142,0.143,0.146,0.138,0.127,0.142,0.152
40,0.125,0.139,0.141,0.137,0.135,0.124,0.133,0.169,0.13,0.137,0.156
41,0.124,0.126,0.13,0.12,0.126,0.145,0.127,0.135,0.146,0.147,0.151
42,0.129,0.129,0.131,0.125,0.131,0.127,0.13,0.143,0.15,0.129,0.138
43,0.129,0.135,0.125,0.136,0.141,0.127,0.144,0.141,0.133,0.139,0.157
44,0.125,0.122,0.14,0.126,0.127,0.142,0.148,0.134,0.146,0.141,0.155
