,0
0,0.113
1,0.113
2,0.109
3,0.109
4,0.111
5,0.116
6,0.114
7,0.108
8,0.111
9,0.114
10,0.112
11,0.109
12,0.115
13,0.112
14,0.114
15,0.115
16,0.111
17,0.113
18,0.115
19,0.108
20,0.111
21,0.108
22,0.108
23,0.111
24,0.11
25,0.109
26,0.114
27,0.111
28,0.108
29,0.108
30,0.115
31,0.111
32,0.111
33,0.108
34,0.111
35,0.113
36,0.108
37,0.111
38,0.11
39,0.11
40,0.11
41,0.111
42,0.113
43,0.109
44,0.106
45,0.109
46,0.111
47,0.109
48,0.112
49,0.109
50,0.114
51,0.113
52,0.108
53,0.112
54,0.11
55,0.108
56,0.11
57,0.106
58,0.109
59,0.117
60,0.108
61,0.109
62,0.111
63,0.112
64,0.113
65,0.107
66,0.108
67,0.113
68,0.109
69,0.11
70,0.113
71,0.11
72,0.107
73,0.111
74,0.112
75,0.114
76,0.107
77,0.11
78,0.117
79,0.111
80,0.115
81,0.128
82,0.108
83,0.109
84,0.111
85,0.106
86,0.112
87,0.11
88,0.108
89,0.11
90,0.109
91,0.108
92,0.109
93,0.115
94,0.108
95,0.122
96,0.112
97,0.107
98,0.109
99,0.109
