,0
0,0.194
1,0.146
2,0.143
3,0.138
4,0.153
5,0.147
6,0.139
7,0.145
8,0.147
9,0.145
10,0.147
11,0.144
12,0.151
13,0.142
14,0.162
15,0.151
16,0.154
17,0.137
18,0.144
19,0.155
20,0.154
21,0.148
22,0.154
23,0.139
24,0.15
25,0.157
26,0.152
27,0.149
28,0.154
29,0.151
30,0.147
31,0.145
32,0.147
33,0.15
34,0.149
35,0.162
36,0.133
37,0.163
38,0.147
39,0.146
40,0.152
41,0.159
42,0.15
43,0.152
44,0.145
45,0.142
46,0.159
47,0.218
48,0.152
49,0.151
50,0.149
51,0.148
52,0.142
53,0.15
54,0.146
55,0.144
56,0.146
57,0.153
58,0.15
59,0.145
60,0.141
61,0.153
62,0.144
63,0.149
64,0.143
65,0.15
66,0.148
67,0.149
68,0.146
69,0.161
70,0.147
71,0.16
72,0.146
73,0.145
74,0.154
75,0.146
76,0.16
77,0.146
78,0.15
79,0.148
80,0.158
81,0.155
82,0.148
83,0.15
84,0.159
85,0.152
86,0.143
87,0.157
88,0.153
89,0.162
90,0.151
91,0.155
92,0.155
93,0.152
94,0.147
95,0.149
96,0.149
97,0.138
98,0.195
99,0.151
