,0
0,0.127
1,0.131
2,0.137
3,0.12
4,0.131
5,0.167
6,0.128
7,0.136
8,0.124
9,0.12
10,0.185
11,0.16
12,0.153
13,0.125
14,0.12
15,0.123
16,0.123
17,0.126
18,0.128
19,0.131
20,0.132
21,0.122
22,0.143
23,0.118
24,0.117
25,0.128
26,0.126
27,0.132
28,0.126
29,0.133
30,0.18
31,0.121
32,0.132
33,0.133
34,0.123
35,0.125
36,0.15
37,0.123
38,0.127
39,0.125
40,0.12
41,0.127
42,0.124
43,0.136
44,0.125
45,0.123
46,0.126
47,0.126
48,0.13
49,0.126
50,0.126
51,0.126
52,0.123
53,0.132
54,0.126
55,0.133
56,0.131
57,0.136
58,0.121
59,0.137
60,0.125
61,0.123
62,0.13
63,0.12
64,0.126
65,0.134
66,0.133
67,0.126
68,0.128
69,0.131
70,0.12
71,0.128
72,0.13
73,0.123
74,0.124
75,0.132
76,0.208
77,0.127
78,0.118
79,0.138
80,0.127
81,0.131
82,0.126
83,0.128
84,0.133
85,0.127
86,0.123
87,0.128
88,0.129
89,0.143
90,0.125
91,0.134
92,0.126
93,0.132
94,0.125
95,0.126
96,0.19
97,0.134
98,0.122
99,0.136
