,0,10,20,30,40,50,60,70,80,90,100
0,0.127,0.175,0.205,0.261,0.304,0.346,0.398,0.414,0.439,0.509,0.528
1,0.123,0.174,0.221,0.249,0.294,0.332,0.384,0.419,0.447,0.505,0.535
2,0.112,0.179,0.216,0.253,0.293,0.327,0.387,0.412,0.454,0.489,0.524
3,0.125,0.184,0.212,0.251,0.301,0.331,0.367,0.411,0.468,0.479,0.527
4,0.128,0.192,0.213,0.252,0.289,0.343,0.377,0.42,0.46,0.495,0.529
5,0.123,0.183,0.226,0.248,0.289,0.336,0.381,0.426,0.445,0.503,0.526
6,0.123,0.179,0.22,0.25,0.294,0.337,0.372,0.427,0.467,0.512,0.517
7,0.114,0.172,0.219,0.251,0.29,0.332,0.373,0.435,0.457,0.485,0.556
8,0.121,0.181,0.215,0.252,0.292,0.34,0.39,0.405,0.455,0.503,0.53
9,0.117,0.169,0.222,0.248,0.308,0.337,0.378,0.414,0.464,0.503,0.55
10,0.134,0.18,0.218,0.25,0.292,0.332,0.382,0.421,0.439,0.484,0.534
11,0.124,0.174,0.218,0.261,0.287,0.331,0.371,0.42,0.466,0.511,0.539
12,0.124,0.182,0.214,0.258,0.298,0.334,0.365,0.418,0.457,0.49,0.54
13,0.132,0.176,0.219,0.258,0.3,0.339,0.354,0.432,0.465,0.505,0.524
14,0.121,0.172,0.213,0.252,0.3,0.336,0.374,0.417,0.441,0.494,0.501
15,0.121,0.176,0.216,0.254,0.292,0.339,0.379,0.428,0.467,0.499,0.525
16,0.125,0.179,0.223,0.253,0.287,0.34,0.377,0.424,0.471,0.51,0.547
17,0.117,0.179,0.209,0.252,0.292,0.345,0.381,0.425,0.461,0.508,0.541
18,0.115,0.184,0.213,0.252,0.304,0.332,0.373,0.418,0.456,0.478,0.528
19,0.126,0.182,0.213,0.254,0.29,0.347,0.37,0.432,0.462,0.495,0.523
20,0.132,0.17,0.226,0.251,0.297,0.337,0.385,0.419,0.446,0.485,0.527
21,0.127,0.184,0.218,0.253,0.302,0.33,0.378,0.425,0.458,0.484,0.539
22,0.119,0.174,0.22,0.264,0.288,0.331,0.381,0.432,0.466,0.504,0.536
23,0.112,0.188,0.218,0.251,0.287,0.338,0.371,0.419,0.455,0.497,0.536
24,0.125,0.17,0.213,0.274,0.298,0.331,0.388,0.414,0.452,0.491,0.536
25,0.116,0.177,0.211,0.251,0.3,0.335,0.367,0.419,0.452,0.499,0.523
26,0.117,0.183,0.22,0.253,0.304,0.347,0.387,0.416,0.452,0.493,0.533
27,0.115,0.17,0.215,0.25,0.293,0.321,0.378,0.406,0.46,0.504,0.53
28,0.123,0.184,0.211,0.25,0.295,0.334,0.377,0.41,0.445,0.494,0.548
29,0.107,0.161,0.214,0.241,0.291,0.333,0.38,0.428,0.444,0.481,0.532
30,0.113,0.169,0.222,0.25,0.29,0.337,0.382,0.407,0.451,0.497,0.535
31,0.121,0.181,0.212,0.268,0.295,0.327,0.383,0.412,0.458,0.505,0.532
32,0.119,0.181,0.22,0.254,0.299,0.341,0.39,0.425,0.458,0.508,0.538
33,0.122,0.173,0.223,0.266,0.289,0.334,0.378,0.43,0.447,0.491,0.529
34,0.118,0.181,0.212,0.259,0.29,0.333,0.386,0.416,0.466,0.498,0.548
35,0.125,0.181,0.215,0.245,0.303,0.341,0.375,0.426,0.457,0.505,0.531
36,0.125,0.179,0.21,0.252,0.301,0.34,0.369,0.414,0.451,0.5,0.543
37,0.126,0.174,0.225,0.267,0.291,0.33,0.377,0.415,0.451,0.496,0.529
38,0.125,0.188,0.218,0.263,0.295,0.332,0.365,0.404,0.472,0.502,0.533
39,0.12,0.169,0.216,0.246,0.299,0.342,0.377,0.419,0.457,0.497,0.526
40,0.123,0.18,0.211,0.259,0.298,0.348,0.366,0.42,0.454,0.482,0.524
41,0.13,0.182,0.216,0.25,0.297,0.323,0.376,0.414,0.451,0.509,0.539
42,0.118,0.178,0.213,0.269,0.293,0.339,0.375,0.419,0.459,0.489,0.539
43,0.121,0.17,0.214,0.261,0.291,0.336,0.387,0.415,0.447,0.514,0.538
44,0.118,0.179,0.221,0.258,0.301,0.33,0.381,0.409,0.45,0.506,0.514
45,0.12,0.178,0.215,0.253,0.296,0.34,0.366,0.403,0.462,0.493,0.53
46,0.12,0.178,0.212,0.256,0.299,0.339,0.384,0.405,0.458,0.516,0.526
47,0.12,0.181,0.212,0.259,0.298,0.338,0.37,0.407,0.449,0.487,0.524
48,0.12,0.178,0.217,0.257,0.296,0.342,0.38,0.432,0.447,0.496,0.524
49,0.121,0.185,0.22,0.255,0.299,0.345,0.371,0.42,0.449,0.491,0.534
50,0.127,0.181,0.219,0.251,0.296,0.319,0.388,0.413,0.457,0.488,0.517
51,0.118,0.184,0.214,0.262,0.291,0.317,0.382,0.423,0.463,0.485,0.54
52,0.117,0.18,0.21,0.25,0.295,0.322,0.379,0.419,0.452,0.512,0.549
53,0.115,0.173,0.211,0.254,0.29,0.316,0.369,0.416,0.457,0.499,0.531
54,0.124,0.186,0.221,0.259,0.295,0.342,0.392,0.422,0.45,0.502,0.537
55,0.116,0.174,0.212,0.257,0.306,0.332,0.377,0.453,0.459,0.503,0.524
56,0.133,0.188,0.219,0.248,0.291,0.331,0.367,0.418,0.452,0.481,0.539
57,0.122,0.189,0.214,0.248,0.304,0.328,0.376,0.457,0.449,0.482,0.542
58,0.118,0.177,0.21,0.251,0.308,0.347,0.374,0.409,0.45,0.501,0.545
59,0.119,0.184,0.216,0.255,0.293,0.337,0.375,0.428,0.444,0.477,0.539
60,0.125,0.187,0.216,0.258,0.292,0.336,0.383,0.42,0.459,0.484,0.53
61,0.122,0.185,0.213,0.259,0.283,0.329,0.369,0.431,0.442,0.505,0.535
62,0.125,0.194,0.21,0.25,0.297,0.332,0.371,0.436,0.434,0.492,0.522
63,0.12,0.185,0.215,0.26,0.3,0.326,0.364,0.419,0.448,0.487,0.534
64,0.12,0.172,0.222,0.263,0.293,0.343,0.377,0.414,0.466,0.507,0.532
65,0.118,0.18,0.216,0.258,0.29,0.33,0.383,0.41,0.459,0.511,0.528
66,0.116,0.177,0.207,0.253,0.301,0.329,0.389,0.412,0.45,0.496,0.53
67,0.118,0.185,0.216,0.252,0.285,0.335,0.385,0.437,0.467,0.504,0.536
68,0.115,0.181,0.208,0.251,0.297,0.34,0.382,0.404,0.464,0.481,0.533
69,0.121,0.159,0.231,0.262,0.296,0.344,0.402,0.421,0.454,0.504,0.528
70,0.118,0.173,0.216,0.259,0.305,0.341,0.387,0.437,0.457,0.494,0.577
71,0.119,0.177,0.217,0.252,0.288,0.345,0.376,0.43,0.473,0.582,0.543
72,0.113,0.156,0.237,0.237,0.274,0.322,0.372,0.403,0.456,0.504,0.545
73,0.124,0.175,0.211,0.258,0.297,0.336,0.395,0.413,0.448,0.504,0.53
74,0.116,0.176,0.215,0.254,0.3,0.334,0.383,0.406,0.467,0.495,0.544
75,0.118,0.171,0.206,0.257,0.291,0.346,0.385,0.425,0.449,0.498,0.527
76,0.119,0.181,0.22,0.252,0.29,0.326,0.394,0.419,0.46,0.506,0.543
77,0.123,0.178,0.216,0.254,0.291,0.342,0.386,0.421,0.467,0.519,0.536
78,0.12,0.183,0.21,0.25,0.291,0.334,0.385,0.409,0.467,0.508,0.532
79,0.12,0.174,0.221,0.265,0.303,0.344,0.38,0.424,0.466,0.49,0.522
80,0.125,0.181,0.217,0.26,0.296,0.351,0.376,0.438,0.444,0.482,0.544
81,0.115,0.182,0.217,0.26,0.298,0.344,0.376,0.431,0.45,0.493,0.542
82,0.117,0.17,0.217,0.265,0.298,0.337,0.39,0.409,0.446,0.48,0.532
83,0.112,0.174,0.215,0.258,0.304,0.343,0.378,0.409,0.457,0.521,0.527
84,0.121,0.17,0.217,0.254,0.3,0.34,0.368,0.408,0.45,0.495,0.537
85,0.122,0.177,0.217,0.257,0.294,0.344,0.397,0.413,0.465,0.484,0.534
86,0.123,0.176,0.217,0.257,0.297,0.341,0.377,0.411,0.452,0.489,0.535
87,0.128,0.177,0.227,0.266,0.295,0.333,0.372,0.43,0.459,0.501,0.538
88,0.124,0.184,0.219,0.243,0.285,0.337,0.382,0.414,0.462,0.493,0.534
89,0.13,0.181,0.217,0.264,0.3,0.329,0.382,0.41,0.46,0.501,0.519
90,0.131,0.181,0.22,0.264,0.296,0.341,0.37,0.423,0.454,0.501,0.524
91,0.115,0.175,0.216,0.255,0.301,0.334,0.367,0.421,0.462,0.495,0.511
92,0.123,0.18,0.217,0.248,0.279,0.325,0.366,0.43,0.462,0.492,0.549
93,0.12,0.182,0.207,0.261,0.291,0.348,0.365,0.418,0.458,0.511,0.543
94,0.115,0.176,0.214,0.258,0.302,0.339,0.376,0.408,0.453,0.514,0.52
95,0.129,0.172,0.219,0.254,0.304,0.329,0.377,0.434,0.442,0.493,0.541
96,0.119,0.173,0.219,0.266,0.296,0.34,0.382,0.424,0.464,0.499,0.53
97,0.12,0.185,0.21,0.244,0.284,0.339,0.372,0.421,0.464,0.493,0.526
98,0.126,0.175,0.215,0.259,0.292,0.332,0.366,0.426,0.469,0.494,0.525
99,0.117,0.181,0.217,0.244,0.29,0.341,0.38,0.422,0.463,0.486,0.538
