,0,10,20,30,40,50,60,70,80,90,100
0,0.114,0.148,0.186,0.232,0.273,0.319,0.358,0.396,0.433,0.472,0.503
1,0.115,0.154,0.186,0.219,0.275,0.308,0.354,0.392,0.428,0.458,0.501
2,0.109,0.149,0.182,0.222,0.273,0.319,0.345,0.401,0.434,0.474,0.507
3,0.108,0.149,0.194,0.22,0.265,0.313,0.351,0.394,0.426,0.464,0.497
4,0.109,0.151,0.185,0.22,0.265,0.336,0.351,0.378,0.428,0.461,0.493
5,0.109,0.152,0.19,0.231,0.268,0.31,0.352,0.381,0.426,0.469,0.5
6,0.11,0.158,0.198,0.223,0.268,0.308,0.364,0.39,0.43,0.471,0.503
7,0.12,0.149,0.183,0.224,0.275,0.309,0.349,0.392,0.427,0.469,0.516
8,0.114,0.145,0.184,0.224,0.277,0.308,0.355,0.389,0.424,0.454,0.508
9,0.11,0.145,0.198,0.227,0.267,0.311,0.354,0.391,0.439,0.481,0.515
10,0.113,0.147,0.187,0.233,0.274,0.307,0.345,0.388,0.424,0.457,0.498
11,0.112,0.154,0.185,0.227,0.276,0.318,0.355,0.388,0.429,0.473,0.503
12,0.107,0.15,0.182,0.227,0.277,0.308,0.352,0.388,0.431,0.465,0.497
13,0.116,0.15,0.195,0.221,0.279,0.305,0.351,0.385,0.438,0.469,0.497
14,0.12,0.158,0.189,0.223,0.266,0.312,0.361,0.391,0.444,0.461,0.504
15,0.112,0.154,0.184,0.228,0.264,0.308,0.359,0.388,0.428,0.456,0.496
16,0.111,0.15,0.194,0.229,0.271,0.303,0.347,0.4,0.421,0.458,0.514
17,0.112,0.147,0.178,0.224,0.278,0.311,0.357,0.385,0.443,0.47,0.503
18,0.111,0.151,0.193,0.235,0.275,0.315,0.359,0.383,0.423,0.461,0.5
19,0.11,0.15,0.19,0.232,0.269,0.301,0.351,0.382,0.43,0.455,0.508
20,0.106,0.151,0.186,0.227,0.268,0.308,0.35,0.387,0.415,0.468,0.505
21,0.113,0.144,0.195,0.256,0.287,0.316,0.345,0.384,0.427,0.48,0.501
22,0.111,0.148,0.183,0.227,0.273,0.319,0.352,0.393,0.43,0.466,0.501
23,0.119,0.15,0.187,0.231,0.266,0.306,0.353,0.397,0.422,0.459,0.522
24,0.113,0.152,0.188,0.231,0.274,0.317,0.353,0.378,0.426,0.455,0.511
25,0.116,0.148,0.188,0.226,0.262,0.308,0.351,0.395,0.434,0.461,0.507
26,0.11,0.146,0.187,0.227,0.277,0.325,0.362,0.39,0.441,0.461,0.502
27,0.107,0.153,0.185,0.225,0.27,0.307,0.362,0.395,0.426,0.484,0.504
28,0.114,0.146,0.187,0.223,0.271,0.307,0.355,0.385,0.429,0.471,0.501
29,0.109,0.15,0.181,0.228,0.274,0.303,0.341,0.39,0.437,0.466,0.497
30,0.109,0.148,0.19,0.229,0.273,0.305,0.35,0.388,0.425,0.469,0.509
31,0.113,0.153,0.189,0.227,0.273,0.313,0.35,0.399,0.44,0.466,0.495
32,0.109,0.155,0.184,0.227,0.289,0.32,0.366,0.387,0.426,0.466,0.504
33,0.108,0.15,0.187,0.228,0.263,0.313,0.364,0.393,0.427,0.479,0.508
34,0.112,0.146,0.184,0.229,0.282,0.309,0.366,0.395,0.426,0.466,0.493
35,0.108,0.147,0.193,0.218,0.274,0.316,0.348,0.393,0.438,0.468,0.503
36,0.11,0.15,0.191,0.221,0.269,0.319,0.362,0.387,0.428,0.474,0.526
37,0.108,0.158,0.189,0.22,0.269,0.307,0.358,0.393,0.422,0.489,0.505
38,0.11,0.145,0.18,0.226,0.262,0.317,0.369,0.403,0.427,0.482,0.484
39,0.112,0.152,0.185,0.226,0.272,0.308,0.352,0.388,0.433,0.47,0.503
40,0.112,0.149,0.184,0.223,0.267,0.309,0.367,0.387,0.429,0.455,0.5
41,0.115,0.148,0.185,0.228,0.271,0.319,0.356,0.388,0.431,0.455,0.523
42,0.11,0.145,0.182,0.232,0.277,0.324,0.356,0.391,0.434,0.475,0.496
43,0.117,0.144,0.184,0.233,0.271,0.306,0.349,0.398,0.423,0.468,0.499
44,0.105,0.147,0.196,0.232,0.267,0.317,0.366,0.399,0.427,0.464,0.507
45,0.111,0.147,0.187,0.227,0.271,0.314,0.352,0.392,0.429,0.458,0.498
46,0.116,0.152,0.187,0.224,0.27,0.33,0.368,0.397,0.438,0.469,0.504
47,0.109,0.145,0.186,0.228,0.264,0.305,0.348,0.394,0.431,0.468,0.529
48,0.111,0.151,0.19,0.232,0.269,0.306,0.35,0.389,0.426,0.461,0.503
49,0.109,0.153,0.196,0.229,0.262,0.312,0.368,0.379,0.432,0.467,0.525
50,0.117,0.15,0.183,0.232,0.264,0.311,0.37,0.395,0.44,0.46,0.502
51,0.109,0.156,0.194,0.219,0.274,0.307,0.345,0.388,0.421,0.474,0.499
52,0.108,0.151,0.187,0.227,0.273,0.31,0.365,0.381,0.424,0.472,0.53
53,0.111,0.156,0.192,0.223,0.271,0.324,0.366,0.382,0.418,0.463,0.499
54,0.111,0.156,0.191,0.219,0.265,0.311,0.359,0.388,0.435,0.47,0.511
55,0.11,0.147,0.193,0.229,0.267,0.315,0.343,0.386,0.421,0.467,0.503
56,0.115,0.149,0.185,0.229,0.268,0.307,0.359,0.389,0.423,0.46,0.512
57,0.113,0.149,0.185,0.227,0.266,0.307,0.355,0.385,0.428,0.478,0.507
58,0.111,0.148,0.19,0.225,0.275,0.303,0.372,0.382,0.437,0.475,0.5
59,0.111,0.151,0.189,0.218,0.264,0.315,0.357,0.393,0.429,0.469,0.507
60,0.107,0.151,0.189,0.226,0.273,0.307,0.366,0.385,0.443,0.467,0.509
61,0.114,0.151,0.185,0.226,0.269,0.306,0.348,0.394,0.438,0.487,0.512
62,0.117,0.144,0.187,0.228,0.271,0.313,0.36,0.385,0.429,0.498,0.505
63,0.112,0.151,0.193,0.225,0.267,0.311,0.355,0.393,0.423,0.469,0.529
64,0.117,0.149,0.186,0.226,0.273,0.317,0.381,0.41,0.431,0.494,0.508
65,0.111,0.149,0.188,0.227,0.269,0.311,0.346,0.39,0.439,0.466,0.49
66,0.113,0.153,0.192,0.23,0.281,0.314,0.37,0.408,0.444,0.476,0.519
67,0.113,0.147,0.19,0.219,0.263,0.312,0.346,0.389,0.43,0.481,0.51
68,0.113,0.147,0.188,0.226,0.278,0.307,0.358,0.398,0.428,0.469,0.513
69,0.106,0.149,0.192,0.227,0.264,0.306,0.355,0.395,0.431,0.467,0.49
70,0.106,0.15,0.184,0.223,0.269,0.311,0.355,0.389,0.427,0.479,0.511
71,0.109,0.147,0.19,0.227,0.272,0.324,0.362,0.389,0.447,0.492,0.518
72,0.111,0.15,0.192,0.225,0.266,0.309,0.356,0.388,0.428,0.478,0.508
73,0.106,0.15,0.201,0.226,0.274,0.313,0.373,0.384,0.426,0.463,0.508
74,0.115,0.145,0.189,0.22,0.273,0.304,0.355,0.387,0.429,0.479,0.525
75,0.118,0.148,0.183,0.232,0.261,0.312,0.364,0.394,0.442,0.468,0.508
76,0.115,0.147,0.181,0.226,0.269,0.308,0.356,0.391,0.424,0.475,0.511
77,0.108,0.147,0.185,0.222,0.263,0.308,0.352,0.387,0.439,0.471,0.499
78,0.109,0.146,0.195,0.231,0.266,0.317,0.349,0.391,0.431,0.467,0.499
79,0.114,0.153,0.187,0.228,0.264,0.312,0.357,0.386,0.432,0.47,0.507
80,0.107,0.157,0.184,0.232,0.268,0.309,0.352,0.391,0.43,0.477,0.502
81,0.107,0.149,0.191,0.225,0.262,0.314,0.357,0.386,0.425,0.468,0.502
82,0.108,0.151,0.188,0.237,0.261,0.305,0.35,0.393,0.442,0.459,0.504
83,0.111,0.154,0.193,0.225,0.263,0.308,0.355,0.383,0.437,0.455,0.499
84,0.111,0.151,0.185,0.227,0.274,0.315,0.35,0.385,0.433,0.467,0.502
85,0.113,0.146,0.182,0.223,0.27,0.318,0.363,0.394,0.435,0.475,0.51
86,0.111,0.148,0.192,0.227,0.264,0.302,0.356,0.385,0.423,0.47,0.504
87,0.109,0.147,0.183,0.23,0.275,0.313,0.356,0.389,0.43,0.473,0.503
