,0,10,20,30,40,50,60,70,80,90,100
0,0.113,0.126,0.141,0.146,0.151,0.154,0.156,0.165,0.163,0.165,0.16
1,0.126,0.124,0.132,0.131,0.136,0.152,0.163,0.166,0.162,0.163,0.149
2,0.133,0.141,0.152,0.147,0.134,0.151,0.163,0.16,0.163,0.171,0.153
3,0.131,0.125,0.143,0.13,0.158,0.142,0.147,0.165,0.143,0.15,0.169
4,0.122,0.14,0.135,0.157,0.152,0.158,0.158,0.16,0.163,0.166,0.161
5,0.125,0.125,0.14,0.153,0.135,0.161,0.166,0.171,0.162,0.164,0.171
6,0.121,0.125,0.136,0.149,0.17,0.144,0.154,0.157,0.163,0.168,0.166
7,0.127,0.125,0.137,0.144,0.132,0.148,0.146,0.153,0.156,0.166,0.176
8,0.124,0.136,0.143,0.14,0.139,0.148,0.158,0.163,0.16,0.156,0.178
9,0.13,0.177,0.14,0.141,0.16,0.143,0.139,0.157,0.171,0.167,0.184
10,0.128,0.134,0.153,0.141,0.143,0.142,0.156,0.158,0.174,0.168,0.176
11,0.131,0.135,0.143,0.129,0.147,0.152,0.167,0.153,0.158,0.164,0.174
12,0.117,0.13,0.145,0.146,0.137,0.145,0.139,0.144,0.157,0.173,0.178
13,0.13,0.126,0.133,0.149,0.148,0.158,0.165,0.168,0.169,0.161,0.165
14,0.127,0.146,0.127,0.138,0.146,0.137,0.152,0.144,0.159,0.168,0.166
15,0.115,0.148,0.144,0.144,0.138,0.149,0.158,0.153,0.177,0.16,0.17
16,0.127,0.126,0.14,0.15,0.144,0.144,0.14,0.153,0.163,0.161,0.173
17,0.123,0.141,0.141,0.127,0.15,0.156,0.165,0.151,0.158,0.171,0.174
18,0.13,0.129,0.134,0.158,0.159,0.159,0.162,0.159,0.166,0.167,0.169
19,0.129,0.139,0.15,0.141,0.142,0.154,0.162,0.16,0.156,0.171,0.17
20,0.111,0.132,0.144,0.155,0.159,0.158,0.162,0.161,0.147,0.161,0.175
21,0.133,0.125,0.14,0.153,0.143,0.158,0.147,0.143,0.151,0.148,0.163
22,0.126,0.128,0.144,0.132,0.153,0.168,0.153,0.159,0.168,0.162,0.173
23,0.137,0.136,0.133,0.148,0.161,0.151,0.158,0.161,0.174,0.169,0.168
24,0.112,0.135,0.134,0.139,0.151,0.15,0.163,0.167,0.165,0.172,0.188
25,0.131,0.139,0.136,0.154,0.156,0.158,0.138,0.159,0.162,0.167,0.159
26,0.125,0.13,0.15,0.144,0.131,0.156,0.147,0.156,0.153,0.173,0.174
27,0.128,0.14,0.146,0.148,0.144,0.147,0.145,0.154,0.154,0.152,0.16
28,0.127,0.138,0.184,0.13,0.145,0.15,0.148,0.167,0.161,0.163,0.177
29,0.121,0.142,0.148,0.14,0.139,0.157,0.157,0.156,0.163,0.174,0.17
30,0.128,0.122,0.145,0.15,0.138,0.149,0.153,0.164,0.16,0.165,0.163
31,0.128,0.129,0.141,0.154,0.139,0.155,0.149,0.157,0.168,0.163,0.179
32,0.119,0.143,0.147,0.137,0.134,0.139,0.146,0.165,0.169,0.17,0.174
