,0,10,20,30,40,50,60,70,80,90,100
0,0.123,0.13,0.134,0.142,0.136,0.139,0.131,0.14,0.135,0.119,0.129
1,0.137,0.136,0.132,0.136,0.129,0.131,0.13,0.138,0.14,0.141,0.141
2,0.122,0.13,0.13,0.133,0.138,0.139,0.134,0.137,0.13,0.126,0.143
3,0.135,0.134,0.144,0.136,0.135,0.132,0.135,0.133,0.138,0.145,0.132
4,0.132,0.123,0.136,0.135,0.13,0.13,0.131,0.134,0.117,0.137,0.137
5,0.129,0.128,0.131,0.139,0.145,0.132,0.133,0.134,0.14,0.148,0.134
6,0.132,0.136,0.132,0.138,0.136,0.13,0.143,0.138,0.136,0.137,0.13
7,0.127,0.128,0.131,0.137,0.139,0.138,0.13,0.13,0.13,0.127,0.115
8,0.115,0.133,0.135,0.133,0.133,0.127,0.136,0.134,0.131,0.144,0.136
9,0.137,0.134,0.146,0.14,0.139,0.129,0.136,0.132,0.137,0.153,0.135
10,0.127,0.138,0.128,0.129,0.135,0.139,0.136,0.139,0.132,0.141,0.131
11,0.123,0.129,0.13,0.129,0.125,0.145,0.144,0.142,0.135,0.129,0.136
12,0.131,0.138,0.131,0.134,0.134,0.138,0.137,0.14,0.14,0.142,0.131
13,0.121,0.139,0.136,0.137,0.135,0.133,0.129,0.134,0.138,0.136,0.127
14,0.132,0.137,0.14,0.133,0.132,0.131,0.127,0.138,0.126,0.141,0.139
15,0.131,0.128,0.133,0.133,0.135,0.133,0.127,0.136,0.137,0.132,0.134
16,0.128,0.134,0.13,0.134,0.134,0.134,0.135,0.142,0.142,0.13,0.137
17,0.134,0.127,0.128,0.135,0.138,0.128,0.144,0.132,0.14,0.137,0.143
18,0.121,0.134,0.131,0.136,0.135,0.138,0.136,0.13,0.152,0.136,0.135
19,0.133,0.128,0.127,0.126,0.132,0.132,0.136,0.127,0.131,0.137,0.137
20,0.125,0.135,0.135,0.137,0.133,0.129,0.13,0.135,0.13,0.134,0.127
21,0.121,0.134,0.133,0.138,0.136,0.135,0.131,0.133,0.137,0.136,0.139
22,0.128,0.141,0.131,0.132,0.137,0.137,0.141,0.131,0.14,0.134,0.14
23,0.135,0.132,0.132,0.129,0.129,0.137,0.141,0.137,0.141,0.137,0.125
24,0.136,0.132,0.126,0.131,0.139,0.138,0.137,0.135,0.132,0.135,0.139
25,0.136,0.128,0.136,0.137,0.134,0.133,0.147,0.134,0.13,0.133,0.143
26,0.132,0.13,0.137,0.127,0.14,0.136,0.137,0.146,0.138,0.134,0.139
