,0,10,20,30,40,50,60,70,80,90,100
0,0.124,0.135,0.139,0.147,0.138,0.151,0.165,0.167,0.175,0.167,0.157
1,0.132,0.144,0.136,0.154,0.144,0.154,0.145,0.155,0.153,0.163,0.168
2,0.123,0.146,0.139,0.157,0.156,0.162,0.163,0.167,0.168,0.166,0.17
3,0.122,0.141,0.146,0.151,0.152,0.162,0.16,0.169,0.171,0.171,0.153
4,0.124,0.136,0.153,0.143,0.161,0.158,0.156,0.161,0.168,0.174,0.161
5,0.126,0.141,0.141,0.148,0.153,0.17,0.158,0.175,0.166,0.168,0.166
6,0.136,0.127,0.143,0.145,0.159,0.148,0.163,0.168,0.161,0.169,0.159
7,0.128,0.129,0.137,0.146,0.155,0.153,0.16,0.153,0.168,0.164,0.155
8,0.122,0.143,0.14,0.143,0.151,0.155,0.161,0.159,0.16,0.161,0.172
9,0.137,0.129,0.143,0.144,0.152,0.154,0.162,0.164,0.169,0.174,0.18
10,0.125,0.148,0.153,0.152,0.153,0.146,0.162,0.159,0.163,0.175,0.154
11,0.123,0.141,0.139,0.149,0.151,0.162,0.163,0.166,0.172,0.17,0.181
12,0.145,0.128,0.139,0.142,0.14,0.159,0.158,0.172,0.171,0.165,0.175
13,0.123,0.135,0.145,0.157,0.162,0.159,0.159,0.164,0.165,0.17,0.171
14,0.131,0.146,0.14,0.16,0.163,0.142,0.15,0.16,0.168,0.153,0.161
15,0.135,0.141,0.138,0.144,0.155,0.178,0.154,0.17,0.169,0.172,0.166
16,0.121,0.128,0.14,0.133,0.139,0.156,0.161,0.147,0.153,0.169,0.166
17,0.13,0.135,0.136,0.155,0.143,0.147,0.159,0.162,0.163,0.15,0.157
18,0.136,0.137,0.135,0.147,0.146,0.146,0.167,0.166,0.163,0.169,0.172
19,0.137,0.15,0.14,0.148,0.141,0.155,0.158,0.15,0.161,0.176,0.168
20,0.121,0.123,0.138,0.14,0.154,0.158,0.16,0.157,0.153,0.159,0.162
21,0.136,0.157,0.148,0.152,0.154,0.161,0.163,0.162,0.177,0.171,0.166
22,0.137,0.134,0.139,0.139,0.164,0.149,0.166,0.162,0.163,0.167,0.171
23,0.135,0.128,0.133,0.142,0.146,0.158,0.165,0.171,0.151,0.157,0.162
24,0.13,0.145,0.137,0.146,0.155,0.158,0.15,0.17,0.16,0.175,0.184
25,0.119,0.14,0.145,0.145,0.154,0.152,0.161,0.17,0.149,0.165,0.163
26,0.117,0.131,0.146,0.15,0.159,0.161,0.165,0.145,0.158,0.165,0.167
27,0.122,0.138,0.155,0.143,0.151,0.152,0.17,0.167,0.173,0.153,0.161
28,0.127,0.134,0.144,0.144,0.143,0.146,0.167,0.16,0.167,0.167,0.166
29,0.121,0.143,0.148,0.151,0.148,0.154,0.172,0.168,0.174,0.167,0.169
30,0.128,0.132,0.138,0.142,0.156,0.143,0.156,0.162,0.17,0.176,0.16
31,0.129,0.133,0.152,0.143,0.159,0.159,0.171,0.158,0.164,0.168,0.161
32,0.137,0.126,0.138,0.143,0.136,0.153,0.151,0.157,0.156,0.158,0.173
33,0.133,0.127,0.144,0.146,0.163,0.148,0.145,0.162,0.147,0.161,0.169
34,0.128,0.146,0.143,0.137,0.16,0.158,0.166,0.148,0.162,0.163,0.164
35,0.129,0.142,0.133,0.155,0.159,0.169,0.164,0.168,0.164,0.165,0.161
36,0.13,0.148,0.139,0.153,0.15,0.158,0.157,0.164,0.148,0.156,0.17
37,0.128,0.129,0.139,0.155,0.158,0.152,0.156,0.151,0.178,0.163,0.16
38,0.13,0.147,0.136,0.15,0.151,0.149,0.165,0.166,0.166,0.171,0.163
