,0,10,20,30,40,50,60,70,80,90,100
0,0.117,0.151,0.192,0.227,0.272,0.318,0.369,0.39,0.442,0.472,0.529
1,0.113,0.147,0.19,0.226,0.272,0.33,0.352,0.393,0.441,0.474,0.514
2,0.109,0.152,0.189,0.221,0.27,0.306,0.37,0.402,0.446,0.478,0.525
3,0.11,0.145,0.186,0.227,0.275,0.313,0.344,0.393,0.424,0.478,0.507
4,0.107,0.151,0.187,0.228,0.279,0.31,0.356,0.393,0.433,0.476,0.518
5,0.111,0.145,0.192,0.224,0.266,0.315,0.35,0.4,0.437,0.469,0.509
6,0.108,0.149,0.182,0.226,0.268,0.327,0.357,0.384,0.439,0.456,0.514
7,0.11,0.15,0.185,0.231,0.275,0.308,0.354,0.391,0.43,0.467,0.509
8,0.106,0.147,0.187,0.225,0.268,0.32,0.356,0.39,0.441,0.469,0.5
9,0.108,0.148,0.183,0.233,0.268,0.316,0.351,0.39,0.434,0.466,0.532
10,0.11,0.149,0.187,0.222,0.273,0.311,0.354,0.397,0.442,0.473,0.514
11,0.114,0.146,0.188,0.227,0.27,0.315,0.355,0.391,0.439,0.475,0.513
12,0.116,0.149,0.185,0.232,0.274,0.316,0.356,0.4,0.429,0.479,0.506
13,0.113,0.154,0.189,0.237,0.267,0.308,0.356,0.398,0.428,0.489,0.505
14,0.12,0.149,0.182,0.232,0.267,0.307,0.35,0.387,0.426,0.484,0.51
15,0.109,0.149,0.188,0.226,0.272,0.313,0.356,0.405,0.442,0.477,0.509
16,0.109,0.154,0.183,0.227,0.276,0.305,0.36,0.393,0.431,0.476,0.513
17,0.108,0.149,0.191,0.228,0.268,0.317,0.362,0.402,0.437,0.47,0.52
18,0.111,0.152,0.184,0.227,0.268,0.319,0.355,0.408,0.436,0.47,0.516
19,0.111,0.148,0.19,0.23,0.276,0.312,0.36,0.391,0.435,0.474,0.511
20,0.111,0.153,0.186,0.224,0.277,0.317,0.347,0.395,0.435,0.484,0.503
21,0.113,0.145,0.182,0.228,0.266,0.314,0.358,0.394,0.427,0.474,0.517
22,0.11,0.15,0.192,0.224,0.265,0.319,0.352,0.381,0.453,0.475,0.51
23,0.108,0.15,0.19,0.229,0.27,0.31,0.356,0.39,0.42,0.475,0.524
24,0.113,0.148,0.185,0.224,0.265,0.317,0.359,0.395,0.443,0.476,0.516
25,0.112,0.148,0.19,0.23,0.267,0.31,0.36,0.397,0.436,0.462,0.512
26,0.109,0.148,0.19,0.229,0.28,0.312,0.356,0.382,0.436,0.469,0.514
27,0.106,0.15,0.195,0.235,0.265,0.311,0.357,0.407,0.432,0.475,0.502
28,0.112,0.155,0.189,0.231,0.27,0.313,0.354,0.395,0.431,0.471,0.502
29,0.109,0.149,0.189,0.225,0.277,0.311,0.356,0.401,0.422,0.466,0.506
30,0.106,0.146,0.184,0.227,0.274,0.312,0.353,0.394,0.428,0.47,0.511
31,0.108,0.153,0.194,0.235,0.264,0.304,0.354,0.394,0.425,0.476,0.505
32,0.109,0.16,0.188,0.228,0.268,0.308,0.355,0.399,0.448,0.48,0.523
33,0.11,0.147,0.189,0.224,0.273,0.311,0.355,0.391,0.428,0.473,0.514
34,0.106,0.147,0.187,0.22,0.276,0.305,0.354,0.393,0.449,0.472,0.498
35,0.112,0.149,0.186,0.22,0.268,0.307,0.359,0.382,0.437,0.464,0.508
36,0.108,0.147,0.185,0.227,0.279,0.322,0.354,0.387,0.447,0.458,0.504
37,0.106,0.146,0.187,0.228,0.279,0.312,0.358,0.38,0.432,0.472,0.517
38,0.107,0.151,0.186,0.226,0.272,0.309,0.356,0.387,0.463,0.463,0.508
39,0.109,0.152,0.187,0.228,0.272,0.302,0.358,0.39,0.437,0.471,0.511
40,0.113,0.152,0.188,0.224,0.267,0.319,0.356,0.392,0.425,0.468,0.509
41,0.109,0.146,0.188,0.232,0.271,0.31,0.359,0.397,0.441,0.468,0.508
42,0.114,0.148,0.191,0.23,0.276,0.306,0.367,0.414,0.44,0.484,0.513
43,0.108,0.151,0.188,0.228,0.271,0.308,0.357,0.387,0.434,0.478,0.521
44,0.11,0.153,0.2,0.226,0.268,0.322,0.361,0.405,0.436,0.484,0.51
45,0.119,0.152,0.192,0.226,0.268,0.319,0.361,0.407,0.441,0.482,0.519
46,0.111,0.147,0.188,0.221,0.269,0.306,0.359,0.39,0.435,0.486,0.509
47,0.111,0.148,0.191,0.231,0.277,0.307,0.355,0.388,0.431,0.476,0.509
48,0.108,0.15,0.192,0.23,0.261,0.313,0.353,0.401,0.442,0.465,0.522
49,0.115,0.151,0.184,0.222,0.27,0.309,0.361,0.397,0.443,0.471,0.5
50,0.111,0.147,0.181,0.239,0.268,0.309,0.35,0.39,0.43,0.475,0.496
51,0.114,0.149,0.188,0.221,0.269,0.315,0.355,0.396,0.431,0.467,0.504
52,0.113,0.149,0.187,0.224,0.267,0.312,0.357,0.39,0.431,0.476,0.509
53,0.11,0.146,0.185,0.228,0.262,0.304,0.353,0.396,0.433,0.479,0.518
54,0.112,0.145,0.192,0.234,0.266,0.32,0.358,0.399,0.433,0.47,0.501
55,0.113,0.148,0.183,0.234,0.276,0.31,0.36,0.41,0.433,0.466,0.505
56,0.11,0.16,0.191,0.226,0.273,0.315,0.363,0.403,0.435,0.477,0.501
57,0.111,0.151,0.188,0.227,0.275,0.312,0.353,0.399,0.44,0.472,0.534
58,0.111,0.153,0.189,0.224,0.267,0.313,0.356,0.4,0.432,0.474,0.509
59,0.108,0.149,0.193,0.23,0.272,0.306,0.36,0.394,0.434,0.479,0.52
60,0.109,0.146,0.184,0.23,0.268,0.303,0.354,0.394,0.43,0.474,0.513
61,0.109,0.148,0.186,0.223,0.273,0.303,0.358,0.397,0.429,0.477,0.494
62,0.111,0.15,0.186,0.229,0.271,0.311,0.359,0.39,0.437,0.476,0.523
63,0.112,0.151,0.187,0.226,0.27,0.315,0.353,0.394,0.452,0.469,0.524
64,0.11,0.153,0.19,0.232,0.264,0.314,0.356,0.398,0.429,0.472,0.518
65,0.107,0.151,0.194,0.233,0.265,0.315,0.367,0.403,0.435,0.49,0.51
66,0.115,0.15,0.201,0.225,0.267,0.308,0.343,0.392,0.428,0.469,0.511
67,0.108,0.149,0.187,0.231,0.276,0.318,0.353,0.393,0.433,0.473,0.518
68,0.114,0.154,0.193,0.224,0.27,0.312,0.351,0.39,0.435,0.477,0.521
69,0.107,0.145,0.198,0.225,0.266,0.321,0.372,0.419,0.464,0.474,0.511
70,0.11,0.161,0.211,0.239,0.278,0.33,0.361,0.397,0.43,0.47,0.506
71,0.11,0.152,0.19,0.232,0.274,0.313,0.359,0.394,0.432,0.47,0.504
72,0.107,0.15,0.193,0.242,0.282,0.329,0.368,0.398,0.428,0.485,0.513
73,0.111,0.151,0.188,0.23,0.274,0.321,0.362,0.4,0.442,0.478,0.511
74,0.108,0.149,0.195,0.236,0.279,0.326,0.363,0.4,0.431,0.472,0.513
75,0.108,0.153,0.187,0.231,0.267,0.317,0.357,0.402,0.456,0.48,0.519
76,0.109,0.149,0.191,0.224,0.277,0.318,0.363,0.383,0.44,0.486,0.52
77,0.109,0.147,0.189,0.23,0.287,0.308,0.358,0.397,0.433,0.475,0.514
78,0.109,0.146,0.184,0.236,0.275,0.323,0.366,0.401,0.44,0.473,0.554
79,0.116,0.15,0.189,0.239,0.271,0.325,0.363,0.403,0.421,0.472,0.509
80,0.112,0.15,0.198,0.234,0.285,0.317,0.368,0.407,0.442,0.473,0.515
81,0.111,0.147,0.185,0.233,0.275,0.319,0.362,0.389,0.443,0.487,0.533
82,0.114,0.148,0.195,0.234,0.273,0.33,0.36,0.403,0.442,0.464,0.519
83,0.11,0.153,0.192,0.23,0.286,0.325,0.36,0.397,0.431,0.466,0.518
84,0.109,0.148,0.188,0.229,0.276,0.316,0.386,0.406,0.431,0.477,0.501
85,0.109,0.146,0.187,0.226,0.278,0.332,0.368,0.422,0.443,0.491,0.548
86,0.112,0.145,0.192,0.23,0.278,0.326,0.373,0.408,0.435,0.47,0.511
87,0.111,0.146,0.191,0.237,0.277,0.324,0.36,0.425,0.443,0.466,0.51
88,0.112,0.149,0.19,0.242,0.283,0.32,0.358,0.392,0.421,0.479,0.512
89,0.111,0.149,0.194,0.232,0.274,0.343,0.365,0.407,0.438,0.479,0.512
90,0.112,0.151,0.186,0.226,0.267,0.326,0.369,0.392,0.431,0.479,0.511
91,0.11,0.148,0.187,0.224,0.268,0.315,0.361,0.395,0.44,0.489,0.512
92,0.108,0.152,0.185,0.231,0.282,0.324,0.358,0.409,0.43,0.468,0.518
93,0.109,0.145,0.192,0.235,0.287,0.323,0.36,0.405,0.458,0.464,0.503
94,0.11,0.151,0.185,0.233,0.284,0.318,0.365,0.39,0.452,0.479,0.525
95,0.111,0.172,0.205,0.244,0.27,0.313,0.347,0.404,0.443,0.525,0.534
96,0.11,0.151,0.19,0.245,0.278,0.322,0.375,0.4,0.445,0.476,0.522
97,0.112,0.149,0.192,0.239,0.282,0.321,0.37,0.409,0.435,0.489,0.521
98,0.118,0.154,0.189,0.235,0.276,0.316,0.365,0.39,0.428,0.472,0.519
99,0.112,0.151,0.186,0.224,0.273,0.324,0.36,0.405,0.443,0.485,0.511
