,0,10,20,30,40,50,60,70,80,90,100
0,0.113,0.213,0.34,0.435,0.534,0.621,0.727,0.793,0.886,1.005,1.078
1,0.135,0.211,0.311,0.422,0.512,0.607,0.702,0.804,0.94,1.03,1.084
2,0.123,0.214,0.329,0.434,0.529,0.652,0.734,0.879,0.926,1.014,1.101
3,0.124,0.216,0.323,0.426,0.526,0.622,0.727,0.811,0.901,0.997,1.1
4,0.119,0.216,0.327,0.432,0.539,0.617,0.721,0.829,0.907,1.031,1.08
5,0.127,0.226,0.323,0.431,0.518,0.629,0.707,0.805,0.904,1.004,1.106
6,0.124,0.22,0.316,0.428,0.519,0.623,0.722,0.83,0.933,0.997,1.111
7,0.123,0.223,0.315,0.412,0.518,0.614,0.716,0.808,0.897,1.027,1.091
8,0.124,0.222,0.333,0.431,0.509,0.625,0.715,0.812,0.92,1.003,1.08
9,0.125,0.217,0.322,0.413,0.509,0.637,0.706,0.822,0.932,1.015,1.113
10,0.125,0.213,0.315,0.422,0.523,0.624,0.731,0.817,0.914,1.019,1.096
11,0.121,0.231,0.322,0.42,0.551,0.628,0.703,0.83,0.905,1.028,1.057
12,0.133,0.216,0.315,0.437,0.521,0.627,0.718,0.796,0.913,0.998,1.156
13,0.128,0.228,0.323,0.426,0.516,0.62,0.708,0.83,0.915,1.03,1.077
14,0.132,0.24,0.326,0.429,0.531,0.604,0.706,0.83,0.902,1.031,1.104
15,0.127,0.223,0.323,0.41,0.524,0.631,0.705,0.823,0.896,1.005,1.12
16,0.124,0.214,0.329,0.416,0.528,0.627,0.728,0.826,0.925,1.01,1.11
17,0.125,0.208,0.334,0.43,0.518,0.614,0.731,0.825,0.93,0.965,1.111
18,0.121,0.214,0.319,0.423,0.533,0.626,0.729,0.802,0.902,1.004,1.128
19,0.123,0.217,0.333,0.434,0.516,0.64,0.727,0.803,0.914,0.993,1.08
20,0.117,0.213,0.325,0.43,0.528,0.621,0.716,0.828,0.918,0.998,1.135
21,0.116,0.224,0.341,0.433,0.525,0.66,0.724,0.825,0.912,1.045,1.075
22,0.128,0.23,0.327,0.411,0.527,0.637,0.732,0.817,0.921,1.039,1.098
23,0.118,0.218,0.33,0.42,0.542,0.623,0.721,0.793,0.902,1.0,1.108
24,0.12,0.217,0.321,0.424,0.528,0.63,0.741,0.82,0.895,1.01,1.101
25,0.125,0.212,0.328,0.432,0.539,0.62,0.703,0.82,0.897,1.065,1.075
26,0.128,0.22,0.316,0.45,0.525,0.597,0.725,0.843,0.907,1.026,1.111
27,0.129,0.227,0.325,0.425,0.517,0.623,0.714,0.792,0.916,1.052,1.105
28,0.138,0.214,0.317,0.413,0.516,0.651,0.711,0.807,0.878,1.0,1.101
29,0.119,0.21,0.315,0.419,0.545,0.615,0.735,0.801,0.897,1.0,1.099
30,0.127,0.213,0.328,0.417,0.527,0.631,0.698,0.796,0.918,1.022,1.104
31,0.129,0.23,0.335,0.445,0.524,0.638,0.733,0.822,0.905,0.988,1.09
32,0.129,0.228,0.331,0.405,0.51,0.616,0.728,0.836,0.914,0.988,1.129
33,0.123,0.21,0.315,0.432,0.501,0.635,0.715,0.814,0.923,0.992,1.096
34,0.129,0.216,0.334,0.424,0.524,0.608,0.722,0.825,0.936,1.039,1.103
35,0.133,0.222,0.318,0.407,0.54,0.613,0.728,0.804,0.921,0.969,1.117
36,0.109,0.212,0.319,0.412,0.524,0.607,0.749,0.814,0.928,1.005,1.097
37,0.134,0.226,0.33,0.454,0.523,0.634,0.74,0.811,0.888,1.011,1.084
38,0.127,0.224,0.332,0.425,0.525,0.61,0.747,0.808,0.932,1.002,1.073
39,0.127,0.236,0.322,0.428,0.524,0.637,0.706,0.806,0.936,1.01,1.105
40,0.125,0.217,0.307,0.421,0.526,0.63,0.709,0.827,0.905,0.999,1.101
41,0.123,0.236,0.325,0.432,0.516,0.64,0.759,0.833,0.912,0.977,1.091
42,0.118,0.22,0.322,0.427,0.527,0.634,0.727,0.814,0.906,1.001,1.116
43,0.118,0.207,0.314,0.424,0.515,0.627,0.733,0.795,0.933,1.015,1.092
44,0.138,0.211,0.321,0.424,0.517,0.618,0.73,0.813,0.899,1.008,1.101
45,0.121,0.205,0.315,0.427,0.528,0.632,0.737,0.8,0.913,1.001,1.095
46,0.122,0.21,0.335,0.424,0.518,0.614,0.735,0.82,0.905,1.013,1.097
47,0.126,0.223,0.326,0.445,0.534,0.61,0.71,0.837,0.9,1.026,1.097
48,0.131,0.209,0.325,0.431,0.534,0.628,0.712,0.822,0.904,1.009,1.087
49,0.117,0.22,0.327,0.424,0.515,0.617,0.726,0.795,0.925,1.019,1.108
50,0.129,0.213,0.332,0.425,0.534,0.635,0.723,0.805,0.919,1.019,1.092
51,0.129,0.221,0.319,0.426,0.545,0.633,0.688,0.8,0.902,0.995,1.101
52,0.128,0.212,0.32,0.428,0.517,0.656,0.731,0.844,0.908,1.019,1.092
53,0.123,0.219,0.312,0.434,0.509,0.637,0.712,0.802,0.917,1.013,1.125
54,0.135,0.215,0.332,0.422,0.528,0.636,0.71,0.821,0.923,1.011,1.14
55,0.118,0.212,0.328,0.441,0.498,0.636,0.709,0.833,0.927,1.034,1.098
56,0.12,0.216,0.324,0.409,0.518,0.616,0.723,0.822,0.89,1.016,1.081
57,0.122,0.215,0.328,0.43,0.51,0.627,0.713,0.829,0.908,0.99,1.073
58,0.127,0.216,0.337,0.435,0.51,0.632,0.73,0.81,0.934,0.992,1.113
59,0.121,0.218,0.332,0.419,0.522,0.627,0.696,0.829,0.926,0.989,1.113
60,0.121,0.225,0.316,0.433,0.529,0.633,0.712,0.802,0.876,1.01,1.102
61,0.12,0.214,0.331,0.42,0.524,0.621,0.72,0.814,0.925,1.029,1.087
62,0.124,0.229,0.32,0.426,0.523,0.661,0.726,0.796,0.902,1.021,1.108
63,0.128,0.233,0.326,0.428,0.504,0.645,0.716,0.833,0.909,0.996,1.134
64,0.119,0.222,0.325,0.43,0.512,0.619,0.727,0.78,0.918,0.995,1.102
65,0.126,0.216,0.322,0.423,0.518,0.608,0.699,0.832,0.907,0.977,1.09
66,0.134,0.222,0.336,0.415,0.514,0.627,0.736,0.81,0.918,1.051,1.084
67,0.126,0.22,0.329,0.427,0.532,0.624,0.714,0.813,0.937,1.022,1.088
68,0.116,0.22,0.316,0.425,0.494,0.64,0.767,0.798,0.922,0.989,1.113
69,0.127,0.218,0.335,0.425,0.516,0.615,0.72,0.818,0.926,1.04,1.082
70,0.126,0.22,0.31,0.417,0.527,0.592,0.717,0.805,0.911,0.999,1.106
71,0.128,0.219,0.321,0.427,0.54,0.597,0.738,0.8,0.936,0.988,1.094
72,0.117,0.219,0.338,0.427,0.52,0.628,0.753,0.841,0.886,1.006,1.091
73,0.13,0.219,0.331,0.426,0.513,0.607,0.757,0.817,0.913,1.0,1.111
74,0.129,0.227,0.319,0.424,0.533,0.63,0.725,0.802,0.909,1.014,1.108
75,0.128,0.223,0.33,0.413,0.533,0.649,0.716,0.825,0.878,0.973,1.126
76,0.122,0.227,0.324,0.427,0.524,0.619,0.719,0.806,0.919,1.012,1.109
77,0.129,0.225,0.314,0.419,0.512,0.638,0.695,0.801,0.896,1.01,1.076
78,0.131,0.214,0.323,0.415,0.511,0.611,0.688,0.822,0.908,1.001,1.094
79,0.127,0.228,0.334,0.436,0.52,0.632,0.728,0.818,0.915,1.003,1.1
80,0.133,0.221,0.306,0.432,0.53,0.604,0.695,0.81,0.937,1.023,1.108
81,0.121,0.231,0.33,0.436,0.522,0.638,0.72,0.811,0.898,1.033,1.102
82,0.119,0.225,0.321,0.42,0.537,0.615,0.722,0.801,0.921,1.009,1.132
83,0.123,0.21,0.341,0.414,0.529,0.614,0.716,0.815,0.932,1.014,1.104
84,0.127,0.218,0.328,0.41,0.528,0.631,0.735,0.832,0.927,1.027,1.106
85,0.127,0.226,0.338,0.422,0.526,0.614,0.736,0.804,0.909,1.008,1.094
86,0.116,0.213,0.331,0.428,0.536,0.623,0.759,0.812,0.905,1.005,1.124
87,0.125,0.218,0.336,0.415,0.542,0.61,0.731,0.824,0.909,0.977,1.135
88,0.122,0.218,0.338,0.428,0.517,0.609,0.721,0.813,0.934,1.015,1.118
89,0.134,0.212,0.338,0.419,0.512,0.638,0.729,0.791,0.898,1.03,1.08
90,0.123,0.217,0.327,0.409,0.525,0.615,0.703,0.821,0.907,0.999,1.102
91,0.125,0.216,0.316,0.41,0.534,0.623,0.753,0.808,0.915,1.032,1.069
92,0.125,0.224,0.327,0.432,0.523,0.622,0.743,0.809,0.912,1.022,1.081
93,0.126,0.214,0.332,0.431,0.528,0.636,0.711,0.8,0.921,0.997,1.11
94,0.125,0.242,0.325,0.431,0.521,0.634,0.699,0.801,0.893,1.031,1.105
95,0.132,0.214,0.324,0.414,0.524,0.638,0.71,0.816,0.911,1.001,1.108
96,0.125,0.217,0.328,0.423,0.521,0.62,0.729,0.803,0.902,1.02,1.091
97,0.122,0.227,0.326,0.417,0.521,0.625,0.727,0.828,0.891,1.02,1.107
98,0.12,0.223,0.321,0.428,0.534,0.589,0.723,0.812,0.899,1.012,1.064
99,0.119,0.221,0.33,0.426,0.543,0.63,0.751,0.8,0.903,0.991,1.076
